pose
"[-0.125, -2.875]"
"[0.125, -2.875]"
"[0.375, -2.875]"
"[0.625, -2.875]"
"[0.875, -2.875]"
"[1.125, -2.875]"
"[1.375, -2.875]"
"[1.625, -2.875]"
"[1.875, -2.875]"
"[-0.375, -2.625]"
"[-0.125, -2.625]"
"[0.125, -2.625]"
"[0.375, -2.625]"
"[0.625, -2.625]"
"[0.875, -2.625]"
"[1.125, -2.625]"
"[1.375, -2.625]"
"[1.625, -2.625]"
"[1.875, -2.625]"
"[-0.375, -2.375]"
"[-0.125, -2.375]"
"[0.125, -2.375]"
"[0.375, -2.375]"
"[0.625, -2.375]"
"[0.875, -2.375]"
"[1.125, -2.375]"
"[1.375, -2.375]"
"[1.625, -2.375]"
"[1.875, -2.375]"
"[-0.375, -2.125]"
"[-0.125, -2.125]"
"[0.125, -2.125]"
"[0.375, -2.125]"
"[0.625, -2.125]"
"[0.875, -2.125]"
"[1.125, -2.125]"
"[1.375, -2.125]"
"[1.625, -2.125]"
"[0.125, -1.875]"
"[0.375, -1.875]"
"[0.625, -1.875]"
"[0.875, -1.875]"
"[1.125, -1.875]"
"[1.375, -1.875]"
"[1.625, -1.875]"
"[-0.125, -1.625]"
"[0.125, -1.625]"
"[0.375, -1.625]"
"[0.625, -1.625]"
"[0.875, -1.625]"
"[1.125, -1.625]"
"[1.375, -1.625]"
"[1.625, -1.625]"
"[-0.125, -1.375]"
"[0.125, -1.375]"
"[0.375, -1.375]"
"[0.625, -1.375]"
"[0.875, -1.375]"
"[1.125, -1.375]"
"[1.375, -1.375]"
"[1.625, -1.375]"
"[-1.875, -1.125]"
"[-1.625, -1.125]"
"[-1.375, -1.125]"
"[-1.125, -1.125]"
"[-0.875, -1.125]"
"[-0.625, -1.125]"
"[-0.375, -1.125]"
"[-0.125, -1.125]"
"[0.125, -1.125]"
"[0.375, -1.125]"
"[0.625, -1.125]"
"[0.875, -1.125]"
"[1.125, -1.125]"
"[1.375, -1.125]"
"[1.625, -1.125]"
"[-1.875, -0.875]"
"[-1.625, -0.875]"
"[-1.375, -0.875]"
"[-1.125, -0.875]"
"[-0.875, -0.875]"
"[-0.625, -0.875]"
"[-0.375, -0.875]"
"[-0.125, -0.875]"
"[0.125, -0.875]"
"[0.375, -0.875]"
"[0.625, -0.875]"
"[0.875, -0.875]"
"[1.125, -0.875]"
"[1.375, -0.875]"
"[1.625, -0.875]"
"[-1.875, -0.625]"
"[-1.625, -0.625]"
"[-1.375, -0.625]"
"[-1.125, -0.625]"
"[-0.875, -0.625]"
"[-0.625, -0.625]"
"[-0.375, -0.625]"
"[-0.125, -0.625]"
"[0.125, -0.625]"
"[0.375, -0.625]"
"[0.625, -0.625]"
"[0.875, -0.625]"
"[1.125, -0.625]"
"[1.375, -0.625]"
"[1.625, -0.625]"
"[-1.875, -0.375]"
"[-1.625, -0.375]"
"[-1.375, -0.375]"
"[-1.125, -0.375]"
"[-0.875, -0.375]"
"[-0.625, -0.375]"
"[-0.375, -0.375]"
"[-0.125, -0.375]"
"[0.125, -0.375]"
"[0.375, -0.375]"
"[0.625, -0.375]"
"[0.875, -0.375]"
"[1.125, -0.375]"
"[1.375, -0.375]"
"[1.625, -0.375]"
"[-1.875, -0.125]"
"[-1.625, -0.125]"
"[-1.375, -0.125]"
"[-1.125, -0.125]"
"[-0.875, -0.125]"
"[-0.625, -0.125]"
"[-0.375, -0.125]"
"[-0.125, -0.125]"
"[0.125, -0.125]"
"[0.375, -0.125]"
"[0.625, -0.125]"
"[0.875, -0.125]"
"[1.125, -0.125]"
"[1.375, -0.125]"
"[1.625, -0.125]"
"[-1.875, 0.125]"
"[-1.625, 0.125]"
"[-1.375, 0.125]"
"[-1.125, 0.125]"
"[-0.875, 0.125]"
"[-0.625, 0.125]"
"[-0.375, 0.125]"
"[-0.125, 0.125]"
"[0.125, 0.125]"
"[0.375, 0.125]"
"[0.625, 0.125]"
"[0.875, 0.125]"
"[1.125, 0.125]"
"[1.375, 0.125]"
"[1.625, 0.125]"
"[-1.875, 0.375]"
