pose,start,finish_time,goal_state
400,1514831191.7446,1514831232.437749,3
401,1514843135.130171,1514843152.800778,3
402,1514854734.471988,1514854753.813208,3
403,1514865690.312461,1514865733.011676,3
404,1514879747.730307,1514879767.406402,3
405,1514892918.94089,1514892940.957532,3
406,1514910070.174903,1514910091.528125,3
407,1514926270.216221,1514926289.559322,3
408,1514944003.055211,1514944024.070733,3
409,1514958797.09571,1514958816.441486,3
410,1514974938.896989,1514974963.252192,3
411,1514988871.802047,1514988896.45835,4
412,1515001812.711899,1515001837.198695,4
413,1515010095.687748,1515010179.055542,3
414,1515020541.488496,1515020576.833708,3
415,1515033383.752341,1515033419.095106,3
416,1515044608.676066,1515044629.931018,4
417,1515056920.191389,300.0,1
418,1515069475.351048,1515069532.043753,3
419,1515081847.192409,1515081871.214562,3
420,1515091794.86406,1515091823.227754,3
421,1515103300.752641,1515103350.097566,3
422,1515113738.647962,1515113778.656975,3
422,1515123251.838771,1515123279.204372,3
423,1515129456.695485,1515129481.716518,3
424,1515139695.298096,1515139725.300171,3
425,1515149523.804268,1515149545.818034,3
426,1515160401.938548,1515160423.293221,4
427,1515169858.501101,1515169879.75696,4
428,1515179730.162053,1515179751.514926,3
429,1515190269.975284,1515190288.982046,3
430,1515204382.011494,1515204404.367029,3
431,1515218881.556192,1515218901.568892,3
432,1515234760.810243,1515234798.159716,3
433,1515247782.681289,1515247803.89662,4
434,1515261953.202041,1515261974.417978,4
435,1515275379.672654,1515275404.328698,4
436,1515290220.486041,1515290245.143201,4
437,1515297358.162663,1515297426.187851,4
438,1515305287.022849,1515305321.367199,3
439,1515314658.714045,1515314697.720765,3
440,1515323933.558416,1515323966.236574,3
441,1515332620.112866,1515332655.12967,3
442,1515341940.821574,1515342000.823736,3
443,1515351035.647163,1515351098.331469,3
444,1515360600.434061,1515360628.104925,3
445,1515369877.03932,1515369899.392837,3
446,1515379106.538903,1515379130.210442,3
447,1515387503.211279,1515387523.563872,3
448,1515396771.996715,1515396794.350079,3
449,1515405503.69834,1515405538.042158,3
450,1515414398.382039,1515414423.050693,3
451,1515424021.537222,1515424043.218983,3
452,1515438242.540419,1515438265.209527,3
453,1515450098.896951,1515450121.911256,3
454,1515462572.172896,1515462594.856497,3
