,275
1000,12.018237114
276,2.00318193436
277,2.70411586761
278,3.66893291473
279,4.3377161026
280,200.0
281,200.0
282,15.3364508152
283,57.0129830837
284,44.360820055
285,200.0
286,200.0
287,9.01405000687
288,4.67023491859
289,3.33614492416
290,4.66976308823
291,3.33637309074
292,4.00712585449
293,5.0068500042
294,200.0
295,200.0
296,17.6887829304
297,10.0143370628
298,44.3630387783
299,200.0
300,200.0
301,200.0
302,6.67368912697
303,4.00662493706
304,6.00894904137
305,6.67416906357
306,4.33781504631
307,5.6720790863
308,44.0264689922
309,200.0
310,9.68050718307
311,16.0225551128
312,12.3343970776
313,200.0
314,200.0
315,200.0
316,17.0286390781
317,21.337613821
318,15.3375108242
319,10.680380106
320,5.33889698982
321,5.00733804703
322,4.66976499557
323,9.01294898987
324,5.67112016678
325,5.67173600197
326,6.00985980034
327,6.34007501602
328,7.34216403961
329,9.34483098984
330,9.01413106918
331,10.013851881
332,14.0196230412
333,200.0
334,11.6795909405
335,15.3384749889
336,9.67782902718
337,9.01267385483
338,6.00849318504
339,5.6717069149
340,5.33917999268
341,7.34219098091
342,6.34022593498
343,6.34044480324
344,7.01028704643
345,7.67509508133
346,7.67449617386
347,8.01133513451
348,9.34654903412
349,9.67700695992
350,200.0
351,200.0
352,12.0173890591
353,10.0142760277
354,11.3472721577
355,7.67413306236
356,7.01126694679
357,6.67264795303
358,6.3409371376
359,9.01293206215
360,7.01133489609
361,7.34382200241
362,7.34201693535
363,8.01133704185
364,8.67542004585
365,9.01418709755
366,9.67702722549
367,26.0374000072
368,200.0
369,200.0
370,200.0
371,11.0159590244
372,11.0162780285
373,8.34850502014
374,8.34313893318
375,8.01259684563
376,7.34171080589
377,7.34216403961
378,9.67881202698
379,7.3419880867
380,8.0122859478
381,8.67580294609
382,9.01687097549
383,9.67893385887
384,9.67757797241
385,17.0258040428
386,200.0
387,200.0
388,200.0
389,46.3688240051
390,25.0343649387
391,21.0292170048
392,200.0
393,16.3391180038
394,15.6864500046
395,37.6686441898
396,11.679899931
397,10.0143761635
398,9.34501290321
399,9.01380085945
400,8.67556095123
401,8.34325480461
402,15.6889021397
403,10.67979002
404,10.6785838604
405,9.01260900497
406,9.34516191483
407,9.67730402946
408,10.0141341686
409,10.3464980125
410,200.0
411,200.0
412,200.0
413,30.3441569805
414,31.6754090786
415,36.6691091061
416,200.0
417,200.0
418,15.0227329731
419,13.0178267956
420,11.0155220032
421,10.0136590004
422,10.0144321918
423,9.67718505859
424,9.3456659317
425,55.3451459408
426,200.0
427,200.0
428,11.3472521305
429,9.34507083893
430,10.6802470684
431,10.3457069397
432,14.334982872
433,200.0
434,200.0
435,200.0
436,200.0
437,200.0
438,27.671423912
439,24.3361949921
440,22.3346829414
441,16.3384079933
442,19.0284109116
443,14.3351099491
444,13.3360600471
445,11.0159218311
446,11.3504230976
447,10.3464188576
448,10.0137040615
449,12.3353610039
450,22.3377242088
451,10.6800229549
452,11.0186359882
453,11.0178208351
454,18.0270140171
455,200.0
456,24.0340840816
457,20.3356659412
458,19.0284230709
459,31.3443760872
460,21.334125042
461,20.3372220993
462,15.0225310326
463,13.0194780827
464,12.3343729973
465,12.0167298317
466,11.3503448963
467,11.0162570477
468,11.3493740559
469,99.3372261524
470,14.3356389999
471,200.0
472,200.0
473,200.0
474,200.0
475,200.0
476,200.0
477,29.6784601212
478,29.6745889187
479,19.3359181881
480,18.3360159397
481,28.002820015
482,51.675855875
483,200.0
484,200.0
485,200.0
486,200.0
487,15.3366029263
488,11.6810479164
489,12.0166008472
490,14.0202951431
491,34.6831040382
492,23.3369991779
493,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,37.017457962
501,22.0332357883
502,36.3552548885
503,21.0292088985
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,13.3344931602
512,12.6831231117
513,14.018848896
514,200.0
515,200.0
516,294.340354919
517,24.3389899731
518,23.6679029465
519,26.6711997986
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,14.0212211609
528,13.3353590965
529,24.0353519917
530,200.0
531,200.0
532,200.0
533,20.0340030193
534,26.3392100334
535,26.339744091
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,16.0227620602
544,14.3393080235
545,46.0329189301
546,200.0
547,200.0
548,24.0351240635
549,24.6981790066
550,25.3390657902
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
