,344
1000,16.0377690792
345,2.00500512123
346,2.6702311039
347,3.67192411423
348,4.67428803444
349,5.34476518631
350,200.0
351,21.3504779339
352,12.3360369205
353,11.3423278332
354,11.0250477791
355,9.68554401398
356,9.02179098129
357,8.01859307289
358,7.01642084122
359,6.34631109238
360,5.67663311958
361,4.6739358902
362,3.33881592751
363,5.34459114075
364,3.67234015465
365,4.34313321114
366,5.34408903122
367,13.0295500755
368,200.0
369,200.0
370,200.0
371,12.6933910847
372,11.0268537998
373,10.6859381199
374,9.33750510216
375,8.68259501457
376,7.68093919754
377,7.34910011292
378,6.0140209198
379,5.34428501129
380,4.34177207947
381,3.67179107666
382,5.67649006844
383,5.67593002319
384,5.01174497604
385,6.34687185287
386,200.0
387,200.0
388,200.0
389,41.0057868958
390,20.6775670052
391,49.3392441273
392,200.0
393,16.0350451469
394,22.6821849346
395,14.0342209339
396,12.3367218971
397,19.3433308601
398,10.3396041393
399,9.33711218834
400,10.6881029606
401,8.34961915016
402,15.6995668411
403,7.01598381996
404,5.6770939827
405,5.01203012466
406,4.67522978783
407,7.01724886894
408,5.34485697746
409,6.0147151947
410,200.0
411,200.0
412,200.0
413,27.6693229675
414,33.6756119728
415,107.671073914
416,200.0
417,24.356552124
418,15.335711956
419,16.3385109901
420,18.6740460396
421,18.6758549213
422,14.3352389336
423,17.3396718502
424,10.6883211136
425,59.3383729458
426,200.0
427,200.0
428,8.01910209656
429,5.67708516121
430,5.34466981888
431,7.34746193886
432,9.68618512154
433,200.0
434,200.0
435,200.0
436,200.0
437,200.0
438,20.6809949875
439,24.0272839069
440,36.3438618183
441,17.0373589993
442,14.3373548985
443,21.0110030174
444,14.6986260414
445,12.0293240547
446,18.6773030758
447,17.0042419434
448,18.6746809483
449,16.0020000935
450,12.0279231071
451,6.34681391716
452,6.34664702415
453,8.33510184288
454,7.67973613739
455,200.0
456,47.0056068897
457,21.3491351604
458,24.6707520485
459,18.3436169624
460,19.0106081963
461,24.3579909801
462,14.6991069317
463,14.0338330269
464,22.6861708164
465,12.3369591236
466,12.3368299007
467,17.0020470619
468,18.0054459572
469,42.3549730778
470,11.024627924
471,200.0
472,200.0
473,200.0
474,8.6834499836
475,200.0
476,200.0
477,21.349448204
478,21.6828248501
479,21.6816780567
480,30.0314571857
481,18.0056231022
482,26.6745581627
483,22.6693480015
484,200.0
485,24.0177941322
486,23.0160830021
487,15.6990568638
488,27.0268101692
489,19.0097432137
490,200.0
491,12.0296430588
492,70.0287489891
493,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,24.0166461468
501,25.3562841415
502,19.0082690716
503,200.0
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,28.3609478474
512,14.3361837864
513,13.6932680607
514,200.0
515,200.0
516,34.0060560703
517,35.0158638954
518,26.0256378651
519,25.6733279228
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,13.3351838589
528,14.3386271
529,20.6774458885
530,200.0
531,200.0
532,200.0
533,29.6692631245
534,29.0019478798
535,30.0336430073
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,34.3460218906
544,49.3438339233
545,73.3633430004
546,200.0
547,200.0
548,22.6804459095
549,28.6712999344
550,29.0286381245
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,21.0110430717
559,20.3468251228
560,19.6754279137
561,200.0
562,200.0
563,26.6732211113
564,22.0108730793
565,200.0
566,28.6700968742
567,32.3366339207
568,30.6686139107
569,63.3403170109
570,200.0
571,200.0
572,26.0231108665
573,55.3409540653
574,18.3445851803
575,200.0
576,200.0
577,200.0
578,24.0174558163
579,33.0050959587
580,28.6687209606
581,25.6736950874
582,200.0
583,26.3607411385
584,30.3671219349
585,39.3516190052
586,200.0
587,38.0014078617
588,30.0294559002
589,27.3607649803
590,26.3661110401
591,200.0
592,200.0
593,200.0
594,200.0
595,31.3706560135
596,26.022108078
597,35.0094571114
598,111.009500027
599,24.0165541172
600,22.3515748978
601,68.6707341671
602,73.6708021164
603,29.0303518772
604,200.0
605,27.3627288342
606,37.3442568779
607,200.0
608,200.0
609,200.0
610,200.0
611,27.6693160534
612,27.6690411568
613,52.0174281597
614,200.0
615,23.3540349007
616,36.343034029
617,44.7012829781
618,25.355561018
619,22.6798739433
620,200.0
621,48.006100893
622,37.0126769543
623,24.0161709785
624,20.0083620548
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,32.6705348492
640,85.6934120655
641,200.0
642,200.0
643,200.0
644,33.0044038296
645,200.0
646,200.0
647,200.0
648,31.3692839146
649,200.0
650,200.0
651,200.0
652,200.0
653,31.6767849922
