,608
1000,200.0
609,200.0
610,200.0
611,18.3379089832
612,65.0057520866
613,31.0137901306
614,12.6838769913
615,29.679926157
616,11.6825358868
617,10.3487639427
618,15.6900551319
619,16.3344080448
620,14.6880850792
621,200.0
622,7.01199793816
623,6.01016497612
624,6.01027393341
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,12.3359289169
640,7.01140904427
641,200.0
642,200.0
643,200.0
644,5.34026694298
645,200.0
646,200.0
647,200.0
648,8.67803001404
649,200.0
650,200.0
651,200.0
652,200.0
653,12.3373939991
