,162
1000,4.67257404327
163,2.003469944
164,200.0
165,200.0
166,200.0
167,200.0
168,200.0
169,200.0
170,200.0
171,34.0247189999
172,14.0211730003
173,13.0248169899
174,13.0211210251
175,21.0356550217
176,14.6894609928
177,17.69435215
178,13.0216407776
179,12.6877760887
180,8.01430606842
181,6.6767039299
182,3.66924309731
183,6.34366703033
184,3.3381061554
185,6.34427690506
186,7.01239514351
187,7.3448638916
188,18.3348429203
189,13.3402209282
190,9.01670002937
191,18.3346300125
192,200.0
193,26.3488368988
194,16.6693949699
195,27.3517770767
196,14.6913862228
197,10.3343150616
198,200.0
199,200.0
200,200.0
201,200.0
202,200.0
203,11.6838269234
204,5.34312582016
205,4.67203021049
206,5.34209394455
207,12.3371691704
208,6.67631101608
209,8.68020200729
210,20.3386230469
211,200.0
212,47.0073599815
213,200.0
214,200.0
215,200.0
216,200.0
217,8.01691699028
218,6.01029801369
219,5.67397713661
220,6.00951600075
221,6.67571687698
222,9.34882712364
223,8.01119613647
224,200.0
225,200.0
226,22.6747288704
227,31.3592040539
228,28.6704449654
229,200.0
230,200.0
231,10.3473470211
232,7.34160995483
233,6.67457580566
234,8.3471391201
235,8.68011498451
236,10.3467829227
237,8.34709405899
238,200.0
239,200.0
240,21.6720499992
241,21.0034739971
242,28.6813540459
243,200.0
244,200.0
245,13.0234830379
246,8.67585396767
247,8.01779294014
248,14.0204451084
249,9.68169808388
250,11.3370609283
251,11.6805701256
252,200.0
253,200.0
254,18.3362498283
255,23.0348379612
256,21.3395237923
257,200.0
258,200.0
259,17.0327720642
260,9.34837317467
261,8.34777283669
262,8.01571083069
263,9.0162551403
264,11.3390288353
265,10.0183138847
266,200.0
267,200.0
268,18.6965339184
269,24.0078401566
270,25.6762979031
271,200.0
272,200.0
273,17.3353919983
274,9.68194699287
275,8.67903208733
276,11.0153160095
277,9.3451628685
278,9.68001484871
279,12.0173170567
280,200.0
281,200.0
282,18.3375689983
283,20.0338001251
284,21.6990039349
285,200.0
286,200.0
287,13.6841311455
288,10.6786561012
289,10.6836340427
290,15.3373889923
291,10.3464100361
292,11.0184290409
293,11.0158839226
294,15.3360769749
295,200.0
296,18.0275089741
297,19.6691730022
298,21.3379011154
299,200.0
300,200.0
301,200.0
302,12.6814990044
303,10.6795349121
304,11.3401129246
305,11.0159170628
306,11.6803319454
307,11.6839821339
308,14.3368439674
309,200.0
310,15.6929810047
311,18.3380630016
312,23.3401651382
313,200.0
314,200.0
315,200.0
316,37.3673799038
317,55.0020451546
318,27.6816430092
319,29.0146570206
320,14.3409099579
321,12.3387658596
322,13.6892309189
323,12.0204429626
324,15.3359529972
325,12.0244340897
326,13.3403630257
327,13.6885519028
328,14.0262699127
329,15.0289680958
330,18.6677689552
331,18.3355410099
332,31.0215871334
333,34.6700692177
334,22.3417100906
335,32.6685810089
336,66.3371150494
337,29.0180518627
338,16.6933910847
339,14.3419089317
340,13.6874608994
341,13.6900172234
342,13.3396549225
343,13.3398830891
344,14.0237660408
345,14.3412251472
346,16.3378520012
347,16.0239219666
348,15.6925289631
349,18.698734045
350,200.0
351,200.0
352,51.0084159374
353,18.6978371143
354,17.6961250305
355,24.3349130154
356,17.6949181557
357,12.6860949993
358,15.3358049393
359,13.3404920101
360,14.6893610954
361,15.3358049393
362,16.0287358761
363,17.3352921009
364,16.3375980854
365,18.6978850365
366,17.6976709366
367,25.0075960159
368,26.0073111057
369,200.0
370,200.0
371,25.3376550674
372,31.6752541065
373,20.3361749649
374,24.34562397
375,34.0170960426
376,15.335018158
377,14.0253529549
378,15.3355970383
379,14.6926159859
380,15.6928219795
381,16.6905338764
382,18.0347661972
383,17.0312309265
384,17.3363411427
385,19.3353669643
386,200.0
387,200.0
388,200.0
389,82.6770129204
390,200.0
391,51.3607158661
392,200.0
393,60.0094001293
394,26.3467710018
395,21.6707539558
396,19.3348948956
397,23.0069069862
398,39.6737098694
399,24.3388669491
400,23.0069200993
401,16.3363149166
402,17.0316619873
403,25.3464841843
404,15.334872961
405,17.6882300377
406,15.6932508945
407,17.3373000622
408,18.3355140686
409,18.3352291584
410,200.0
411,200.0
412,200.0
413,49.34917593
414,33.6676039696
415,43.6783099174
416,200.0
417,29.0171751976
418,43.6696960926
419,30.0118210316
420,22.674571991
421,30.3557069302
422,91.0291450024
423,39.3354949951
424,18.3349850178
425,21.3424739838
426,200.0
427,200.0
428,27.3487958908
429,18.3347067833
430,17.3378918171
431,18.0329289436
432,45.0073399544
433,200.0
434,200.0
435,200.0
436,200.0
437,200.0
438,35.3541121483
439,29.0068171024
440,56.3537991047
441,59.3371989727
442,25.6785330772
443,28.3498790264
444,26.350053072
445,23.0071988106
446,29.6701979637
447,26.3489949703
448,21.6722929478
449,18.0336019993
450,23.346547842
451,17.3362309933
452,18.0339479446
453,17.6960220337
454,24.6764090061
455,200.0
456,85.6693501472
457,37.0324580669
458,32.6740660667
459,24.0069401264
460,58.6732580662
461,26.3424010277
462,38.6709618568
463,22.3416910172
464,29.6704518795
465,54.7013299465
466,27.3490428925
467,23.3417010307
468,29.3547821045
469,19.0349988937
470,32.361123085
471,200.0
472,200.0
473,200.0
474,30.0197598934
475,200.0
476,200.0
477,76.6721348763
478,40.025441885
479,37.6750831604
480,200.0
481,28.0143508911
482,111.007657051
483,200.0
484,200.0
485,200.0
486,91.0294790268
487,62.0042030811
488,30.3470141888
489,27.0045559406
490,21.6948559284
491,56.0019199848
492,49.3541328907
493,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,41.0214300156
501,32.0169999599
502,200.0
503,27.3515520096
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,32.3524310589
512,21.3390960693
513,25.3484070301
514,200.0
515,200.0
516,41.3638648987
517,59.001595974
518,96.6780102253
519,45.344244957
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,33.6685419083
528,23.3359749317
529,22.3370990753
530,200.0
531,200.0
532,200.0
533,34.0165159702
534,200.0
535,41.0319769382
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,64.6949257851
544,25.3359341621
545,22.3341729641
546,200.0
547,200.0
548,38.335036993
549,38.6722710133
550,60.3445868492
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,36.0301940441
559,25.009665966
560,24.67714715
561,200.0
562,200.0
563,50.0058181286
564,41.337266922
565,44.6828739643
566,45.0134289265
567,84.3478209972
568,56.0054721832
569,60.677546978
570,44.6842091084
571,65.6825170517
572,79.3449661732
573,31.358497858
574,25.6800758839
575,34.0223460197
576,200.0
577,200.0
578,51.692335844
579,57.3406629562
580,38.6742069721
581,46.3530158997
582,39.33852005
583,40.029458046
584,55.6888999939
585,73.0150780678
586,58.3614449501
587,37.001429081
588,42.3423678875
589,35.6705591679
590,25.0368568897
591,200.0
592,200.0
593,200.0
594,200.0
595,94.3698058128
596,38.3348920345
597,54.6925041676
598,53.3631019592
599,43.3431680202
600,51.3504788876
601,39.3603951931
602,39.0266168118
603,30.3498671055
604,34.025357008
605,32.0212881565
606,25.6792972088
607,200.0
608,28.6825089455
609,200.0
610,200.0
611,38.025990963
612,35.3559360504
613,62.3378970623
614,41.3390069008
615,54.3594660759
616,39.6677808762
617,31.0090408325
618,38.0046389103
619,51.3615698814
620,200.0
621,200.0
622,108.674329996
623,155.009021997
624,64.3355610371
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,200.0
640,42.0317599773
641,200.0
642,200.0
643,200.0
644,200.0
645,200.0
646,200.0
647,46.3385100365
648,31.6801359653
649,200.0
650,200.0
651,200.0
652,200.0
653,44.0031208992
