,396
1000,20.6992311478
397,2.00379991531
398,2.66840195656
399,3.67145705223
400,4.67199611664
401,5.34217381477
402,35.365776062
403,8.67967295647
404,10.017676115
405,11.0219609737
406,10.6802430153
407,20.3348391056
408,12.6849429607
409,14.0209169388
410,23.3358910084
411,200.0
412,200.0
413,14.0245809555
414,12.686619997
415,9.68235087395
416,200.0
417,200.0
418,6.67442011833
419,4.67306089401
420,3.33662104607
421,6.01200413704
422,4.67040085793
423,4.67082691193
424,4.67016601562
425,11.350110054
426,200.0
427,200.0
428,10.6825869083
429,18.3353760242
430,11.0216119289
431,20.3367369175
432,23.6751232147
433,200.0
434,200.0
435,200.0
436,200.0
437,200.0
438,11.3383169174
439,9.34887099266
440,16.0289189816
441,6.34432196617
442,5.34261393547
443,4.67115616798
444,3.67098116875
445,6.00872397423
446,4.67031121254
447,5.00709199905
448,5.0065908432
449,7.34277701378
450,16.0271420479
451,11.6813969612
452,11.3354270458
453,14.3400070667
454,15.3351919651
455,200.0
456,200.0
457,30.018474102
458,9.34865999222
459,8.01482987404
460,6.67561292648
461,6.34271097183
462,5.67427802086
463,7.01265883446
464,4.67289304733
465,7.01340794563
466,7.34582901001
467,5.34175801277
468,6.01175498962
469,6.67662215233
470,20.3421421051
471,34.3635401726
472,13.0233619213
473,200.0
474,23.3428139687
475,200.0
476,200.0
477,11.0207600594
478,14.3356568813
479,18.0344388485
480,11.0197379589
481,12.0225510597
482,14.3424730301
483,7.34577488899
484,200.0
485,200.0
486,71.335670948
487,9.68186283112
488,6.67693710327
489,6.34416699409
490,7.34490418434
491,19.3356471062
492,25.0102870464
493,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,18.6977980137
501,13.0245850086
502,11.0205478668
503,18.0329198837
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,7.34438180923
512,7.67675805092
513,8.01481509209
514,200.0
515,200.0
516,13.3361282349
517,11.351172924
518,16.6874380112
519,16.687582016
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,8.67945313454
528,8.34777092934
529,9.01671290398
530,200.0
531,200.0
532,200.0
533,12.0177369118
534,16.6928648949
535,12.3355169296
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,9.35132884979
544,11.018458128
545,10.0149929523
546,200.0
547,200.0
548,19.0365169048
549,17.6961119175
550,14.3422269821
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,10.0153419971
559,11.3343360424
560,11.0173368454
561,200.0
562,200.0
563,26.013051033
564,16.0279481411
565,14.3411159515
566,30.3499660492
567,36.3523409367
568,34.0164630413
569,33.3544478416
570,14.6922860146
571,47.6907570362
572,38.3666160107
573,12.0210049152
574,11.348886013
575,11.3502957821
576,200.0
577,200.0
578,27.3400831223
579,20.028138876
580,21.0296590328
581,15.3392238617
582,18.3348031044
583,17.6931519508
584,36.3680930138
585,14.0256590843
586,16.0299358368
587,12.6878619194
588,12.023360014
589,11.6850991249
590,12.016587019
591,200.0
592,200.0
593,200.0
594,200.0
595,20.6973509789
596,22.0304560661
597,42.6713211536
598,200.0
599,63.3560090065
600,15.0224459171
601,22.6694037914
602,15.0272219181
603,39.3361830711
604,13.6905632019
605,12.6861488819
606,12.3396811485
607,14.3421940804
608,15.6954679489
609,200.0
610,200.0
611,23.3417410851
612,24.3462319374
613,200.0
614,30.3541958332
615,17.0258669853
616,16.0239851475
617,17.0273089409
618,26.6731350422
619,24.0039560795
620,200.0
621,200.0
622,200.0
623,22.339495182
624,200.0
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,20.6714270115
640,18.3348579407
641,200.0
642,200.0
643,200.0
644,17.0240938663
645,200.0
646,200.0
647,25.679006815
648,200.0
649,200.0
650,200.0
651,200.0
652,200.0
653,11.0277290344
