,493
1000,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,65.6948590279
501,38.6706330776
502,144.339551926
503,48.3345119953
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,12.3495829105
512,11.0159440041
513,12.3506441116
514,200.0
515,200.0
516,59.3501679897
517,104.350708961
518,55.3436281681
519,25.33679986
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,13.0191152096
528,12.0177590847
529,14.0208370686
530,200.0
531,200.0
532,200.0
533,55.6816859245
534,84.0250220299
535,133.359272957
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,14.6850578785
544,12.681871891
545,13.0197298527
546,200.0
547,200.0
548,27.341037035
549,80.0170829296
550,72.3373789787
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,13.6831331253
559,200.0
560,14.0206110477
561,200.0
562,200.0
563,29.0060620308
564,27.6713130474
565,29.0056807995
566,26.3389520645
567,21.6952269077
568,23.334663868
569,20.6939470768
570,23.034277916
571,200.0
572,18.0272359848
573,15.6865301132
574,14.3365240097
575,15.3378670216
576,200.0
577,200.0
578,26.3389639854
579,27.6723849773
580,23.6977670193
581,41.3625118732
582,26.3390569687
583,21.6944539547
584,21.6946020126
585,18.0265669823
586,17.6898019314
587,16.0228931904
588,17.6906030178
589,15.3389770985
590,18.3343720436
591,200.0
592,200.0
593,200.0
594,200.0
595,26.0371630192
596,29.3422830105
597,23.3343849182
598,200.0
599,23.0350878239
600,18.6914420128
601,22.0329840183
602,20.0290899277
603,17.025496006
604,16.3395090103
605,16.0238480568
606,16.3391358852
607,19.6931619644
608,24.6988389492
609,200.0
610,200.0
611,26.6708829403
612,24.0349240303
613,23.3346810341
614,24.0360949039
615,30.3454661369
616,19.692373991
617,19.0280659199
618,22.0334589481
619,19.6925230026
620,26.0024368763
621,31.346930027
622,33.013053894
623,19.0282850266
624,19.3350009918
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,50.6742320061
640,18.6902310848
641,200.0
642,200.0
643,200.0
644,42.3610429764
645,200.0
646,200.0
647,26.3394479752
648,20.6936480999
649,200.0
650,200.0
651,200.0
652,200.0
653,200.0
