,285
1000,60.0125851631
286,200.0
287,200.0
288,27.6827979088
289,36.0294318199
290,17.0253059864
291,20.3372659683
292,25.0085430145
293,15.0278429985
294,25.3468749523
295,200.0
296,200.0
297,6.01178812981
298,6.34481596947
299,7.01428318024
300,200.0
301,200.0
302,21.0375571251
303,20.6689109802
304,15.0263371468
305,14.3384971619
306,14.6883099079
307,12.3371748924
308,11.0156869888
309,200.0
310,9.01578402519
311,6.67550206184
312,7.01446199417
313,7.67788100243
314,200.0
315,200.0
316,21.6710438728
317,21.6717031002
318,20.3359041214
319,27.3515429497
320,16.028883934
321,14.691215992
322,14.3350939751
323,13.01978302
324,12.6868920326
325,11.0200898647
326,12.0229752064
327,9.68190908432
328,9.01719784737
329,9.34804177284
330,7.67796897888
331,8.0145509243
332,8.34832787514
333,29.6691660881
334,19.6681671143
335,18.6975660324
336,17.6960728168
337,17.0314998627
338,16.0283689499
339,15.0281019211
340,14.6913268566
341,13.0229170322
342,12.3382050991
343,11.6857540607
344,10.6838550568
345,9.68309307098
346,9.68230605125
347,9.01797199249
348,8.67715501785
349,8.68099999428
350,9.34570217133
351,200.0
352,19.3384239674
353,18.6919548512
354,18.0257740021
355,16.6896541119
356,16.6920640469
357,15.3387038708
358,14.3369719982
359,13.6887731552
360,12.6886649132
361,11.6865339279
362,11.3373849392
363,10.3500938416
364,10.019862175
365,10.6803219318
366,9.34833288193
367,11.0212490559
368,10.0192918777
369,200.0
370,200.0
371,20.0370938778
372,18.697840929
373,17.690376997
374,17.3351240158
375,16.3374140263
376,15.3346328735
377,14.3376829624
378,14.0273399353
379,13.0240359306
380,12.3393030167
381,12.0215141773
382,11.3502750397
383,10.6832690239
384,10.3474180698
385,18.6919720173
386,200.0
387,200.0
388,200.0
389,200.0
390,30.677947998
391,26.6743299961
392,200.0
393,31.0135149956
394,40.0068469048
395,20.669836998
396,21.6732809544
397,19.6989779472
398,24.3465960026
399,17.0315089226
400,17.3357241154
401,16.3381538391
402,23.005338192
