,580
1000,37.3646910191
581,2.00381016731
582,2.66854000092
583,3.66977787018
584,4.67157196999
585,5.34117698669
586,6.0104238987
587,7.01367497444
588,7.67680191994
589,9.01586699486
590,9.68067479134
591,200.0
592,200.0
593,200.0
594,200.0
595,5.00901293755
596,3.33758592606
597,5.3408639431
598,5.34124684334
599,4.00761604309
600,4.67161417007
601,5.6737818718
602,6.67513489723
603,7.34381008148
604,8.34539103508
605,9.01498389244
606,9.68139791489
607,10.6827600002
608,12.0202898979
609,200.0
610,200.0
611,4.33879804611
612,3.6708240509
613,6.67417097092
614,5.0091149807
615,4.67154407501
616,5.00962090492
617,6.01012897491
618,6.67572188377
619,8.34576320648
620,9.68035197258
621,200.0
622,12.6851949692
623,11.6835331917
624,200.0
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,12.3367331028
640,13.6873459816
641,200.0
642,200.0
643,14.339097023
644,13.0217101574
645,200.0
646,200.0
647,18.0314691067
648,16.3345980644
649,200.0
650,200.0
651,200.0
652,200.0
653,37.6913871765
