,486
1000,26.0056869984
487,12.0241208076
488,200.0
489,14.0262179375
490,14.6894779205
491,33.6748220921
492,27.6795940399
493,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,22.6730480194
501,19.0353429317
502,14.6902270317
503,200.0
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,23.0077180862
512,56.6935238838
513,16.3364961147
514,200.0
515,200.0
516,26.0094609261
517,18.6979038715
518,26.3471901417
519,22.3403720856
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,46.0122089386
528,43.0062191486
529,15.6917560101
530,200.0
531,200.0
532,200.0
533,22.3424057961
534,29.015597105
535,15.6912708282
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,24.6700100899
544,25.0028231144
545,200.0
546,200.0
547,200.0
548,24.3392009735
549,24.6725189686
550,18.6933710575
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,36.6754300594
559,200.0
560,43.6730010509
561,200.0
562,200.0
563,30.3488361835
564,200.0
565,25.0069930553
566,30.6678729057
567,21.3378038406
568,51.6842679977
569,22.3352820873
570,26.3423819542
571,200.0
572,18.0283808708
573,200.0
574,33.0165359974
575,35.3529620171
576,200.0
577,200.0
578,23.6725859642
579,24.34085989
580,18.6961648464
581,21.3370330334
582,200.0
583,23.3375611305
584,23.0361340046
585,48.0091609955
586,200.0
587,20.0332732201
588,200.0
589,200.0
590,200.0
591,200.0
592,200.0
593,200.0
594,200.0
595,25.002163887
596,23.3369569778
597,54.6884381771
598,56.0064339638
599,37.6751148701
600,32.3525121212
601,23.3380610943
602,34.0195739269
603,30.3499269485
604,21.6981599331
605,200.0
606,33.3552258015
607,200.0
608,200.0
609,200.0
610,200.0
611,25.3414530754
612,21.3346381187
613,200.0
614,200.0
615,29.6820678711
616,24.6731271744
617,45.0056989193
618,26.67501688
619,200.0
620,200.0
621,200.0
622,25.0010089874
623,200.0
624,200.0
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,200.0
640,200.0
641,200.0
642,200.0
643,44.3634741306
644,40.3585269451
645,200.0
646,200.0
647,30.3428828716
648,200.0
649,200.0
650,200.0
651,200.0
652,200.0
653,53.0285561085
