,414
1000,35.3452119827
415,2.33776903152
416,200.0
417,26.3598749638
418,21.6815021038
419,10.0239589214
420,29.0303349495
421,30.0310440063
422,22.3503758907
423,25.6730089188
424,34.6799359322
425,19.6772811413
426,200.0
427,200.0
428,200.0
429,20.3470458984
430,65.3454661369
431,34.3407962322
432,58.33532691
433,200.0
434,200.0
435,200.0
436,200.0
437,200.0
438,6.34641695023
439,8.02063107491
440,10.688021183
441,11.0271999836
442,11.3415131569
443,15.0342109203
444,12.0284638405
445,21.3470461369
446,16.0371959209
447,15.0364279747
448,17.3390669823
449,60.036452055
450,49.0130360126
451,47.3392720222
452,29.6685709953
453,65.68064785
454,200.0
455,200.0
456,12.6927611828
457,8.01817703247
458,4.01039409637
459,8.35068702698
460,9.33776879311
461,9.68201899529
462,10.3417420387
463,11.3386049271
464,12.6935248375
465,13.0312609673
466,14.0318391323
467,14.6973388195
468,15.6995389462
469,14.3358039856
470,96.0197019577
471,200.0
472,200.0
473,38.0024709702
474,35.6829309464
475,200.0
476,200.0
477,6.01539683342
478,5.01200509071
479,5.01287198067
480,9.33706593513
481,14.0324029922
482,25.0204081535
483,200.0
484,58.0322239399
485,200.0
486,14.3354971409
487,27.0270719528
488,15.0343561172
489,16.6718990803
490,16.3362350464
491,56.0261120796
492,21.6812000275
493,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,6.68004512787
501,5.67711186409
502,5.34419393539
503,11.3417189121
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,14.6974620819
512,17.3409888744
513,17.0028381348
514,200.0
515,200.0
516,22.3505718708
517,7.01806783676
518,6.34650301933
519,9.68646502495
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,35.3409440517
528,18.341408968
529,200.0
530,200.0
531,200.0
532,200.0
533,7.34835004807
534,7.34917211533
535,10.6893639565
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,33.0083949566
544,20.3484778404
545,21.0125610828
546,200.0
547,200.0
548,8.33554887772
549,8.01880502701
550,13.0298521519
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,20.6781318188
559,30.6698338985
560,21.3489539623
561,200.0
562,200.0
563,9.33849382401
564,9.02173304558
565,14.6972169876
566,17.6710250378
567,50.3508450985
568,17.0025348663
569,29.3671638966
570,24.6697850227
571,21.0114529133
572,34.3392760754
573,40.6946840286
574,21.0115110874
575,29.3675968647
576,200.0
577,200.0
578,14.6989970207
579,9.68526816368
580,15.6688539982
581,26.6689441204
582,19.6758739948
583,27.3626778126
584,24.6718418598
585,26.0255568027
586,25.0212290287
587,21.3461239338
588,21.6812849045
589,21.3489079475
590,21.6793720722
591,200.0
592,200.0
593,200.0
594,200.0
595,10.6876618862
596,18.0082879066
597,37.0163090229
598,23.3543319702
599,25.3580009937
600,19.6780619621
601,33.6775429249
602,19.0080718994
603,32.6753838062
604,21.6815671921
605,21.3484840393
606,29.6703038216
607,23.673320055
608,200.0
609,200.0
610,200.0
611,11.3413460255
612,18.3418769836
613,25.6731390953
614,57.3359780312
615,58.3353900909
616,52.6859600544
617,200.0
618,25.3563659191
619,22.3527710438
620,200.0
621,200.0
622,200.0
623,24.3577511311
624,200.0
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,200.0
640,25.6692819595
641,200.0
642,200.0
643,25.3599288464
644,45.7030360699
645,200.0
646,200.0
647,200.0
648,200.0
649,200.0
650,200.0
651,200.0
652,200.0
653,16.6725399494
