,174
1000,7.34745383263
175,2.00364804268
176,2.66977500916
177,3.67078089714
178,4.33736109734
179,5.67678117752
180,6.34031581879
181,7.34195518494
182,8.67537093163
183,8.67573618889
184,9.34800887108
185,12.0173339844
186,17.3343338966
187,200.0
188,14.6957290173
189,15.3377230167
190,32.3466827869
191,12.3379831314
192,200.0
193,10.0178010464
194,173.006654024
195,200.0
196,200.0
197,200.0
198,200.0
199,200.0
200,200.0
201,200.0
202,200.0
203,12.0211620331
204,11.024324894
205,12.0197088718
206,16.022657156
207,13.6881580353
208,23.6992878914
209,37.3596630096
210,25.338050127
211,200.0
212,38.3642349243
213,200.0
214,200.0
215,200.0
216,200.0
217,12.3510701656
218,12.6875879765
219,16.3379149437
220,16.6943750381
221,200.0
222,32.3512070179
223,16.3342051506
224,200.0
225,200.0
226,35.6827089787
227,39.3650541306
228,39.0262889862
229,200.0
230,200.0
231,13.0197160244
232,38.6685929298
233,15.023389101
234,14.0252361298
235,15.0202348232
236,17.0297160149
237,15.6918311119
238,200.0
239,200.0
240,29.007363081
241,36.3587520123
242,58.0145440102
243,200.0
244,200.0
245,15.3371660709
246,14.0251319408
247,13.3369481564
248,25.0373799801
249,15.6902308464
250,200.0
251,25.0042181015
252,200.0
253,200.0
254,32.015734911
255,42.369890213
256,40.3642289639
257,200.0
258,200.0
259,15.3526988029
260,24.6736390591
261,200.0
262,19.697455883
263,200.0
264,31.0142800808
265,19.0361578465
266,200.0
267,200.0
268,33.0191781521
269,28.3484230042
270,42.670871973
271,200.0
272,200.0
273,24.3368618488
274,22.0328431129
275,29.3448438644
276,22.0353248119
277,15.3366379738
278,17.0265269279
279,33.3507020473
280,200.0
281,200.0
282,27.6823348999
283,35.0244829655
284,26.3442399502
285,32.3538241386
286,200.0
287,60.7027649879
288,16.0289828777
289,16.3392491341
290,17.0319490433
291,17.6928789616
292,20.0278980732
293,21.0306470394
294,200.0
295,200.0
296,39.0325009823
297,29.0051391125
298,55.3562748432
299,200.0
300,200.0
301,19.3349859715
302,16.3356120586
303,18.3376688957
304,19.6930658817
305,20.334690094
306,23.6762669086
307,25.6737070084
308,22.7000010014
309,200.0
310,200.0
311,25.0067181587
312,33.3510861397
313,200.0
314,200.0
315,200.0
316,86.004404068
317,37.6769559383
318,20.3366949558
319,29.0079669952
320,17.3406360149
321,22.0375928879
322,20.693475008
323,20.3380439281
324,19.3374068737
325,27.3454148769
326,18.6945061684
327,37.6680510044
328,46.3407180309
329,25.0089149475
330,23.698225975
331,25.0028150082
332,36.3564641476
333,232.670580149
334,24.673003912
335,82.6709358692
336,30.0144970417
337,22.698059082
338,61.7024497986
339,22.696297884
340,27.3478429317
341,19.6940870285
342,19.6947548389
343,21.6728670597
344,41.3706071377
345,37.6691589355
346,22.0315949917
347,28.6803679466
348,23.3413310051
349,25.0021660328
350,30.349121809
351,200.0
352,39.6690368652
353,24.670730114
354,25.001814127
355,20.6680099964
356,20.0351989269
357,20.6957979202
358,21.3351228237
359,19.3360691071
360,200.0
361,30.0077738762
362,30.3587839603
363,21.6677858829
364,33.3519039154
365,30.6683528423
366,22.6763408184
367,38.66903615
368,200.0
369,200.0
370,200.0
371,23.6705241203
372,25.0091710091
373,23.6688799858
374,24.6696288586
375,200.0
376,20.0309269428
377,29.3490211964
378,27.66832304
379,21.699201107
380,40.3667478561
381,23.6709849834
382,21.6986739635
383,30.6803500652
384,22.33644104
385,44.6679940224
386,200.0
387,200.0
388,200.0
389,39.0265879631
390,38.6682341099
391,39.6678500175
392,200.0
393,54.693363905
394,73.01217103
395,32.6830658913
396,33.0184400082
397,38.0254461765
398,22.0329620838
399,21.0037491322
400,200.0
401,23.3446500301
402,22.3348970413
403,31.3446438313
404,30.6811561584
405,25.0380461216
406,26.0125510693
407,22.6986169815
408,26.3407459259
409,60.0021798611
410,200.0
411,200.0
412,200.0
413,57.6895771027
414,66.0039680004
415,200.0
416,200.0
417,200.0
418,38.3591179848
419,200.0
420,31.0115540028
421,22.0356011391
422,27.3464770317
423,24.3351509571
424,40.6693968773
425,24.0038950443
426,200.0
427,200.0
428,43.6754131317
429,37.029291153
430,23.6746239662
431,23.6687102318
432,25.6747200489
433,200.0
434,200.0
435,200.0
436,200.0
437,200.0
438,38.6698060036
439,64.3419849873
440,49.005633831
441,48.0137031078
442,24.6730909348
443,200.0
444,35.3599610329
445,103.337291956
446,24.0032718182
447,37.6745297909
448,38.3601961136
449,25.6731309891
450,98.0281748772
451,25.0374019146
452,23.6967260838
453,24.3354928493
454,34.3598959446
455,200.0
456,200.0
457,39.6679010391
458,29.6819069386
459,200.0
460,40.0270199776
461,29.3459000587
462,36.6714301109
463,33.3581199646
464,70.679890871
465,27.3437409401
466,25.6783571243
467,24.005879879
468,24.6705219746
469,29.3516719341
470,72.0116178989
471,200.0
472,200.0
473,200.0
474,200.0
475,200.0
476,200.0
477,34.3548920155
478,30.6689589024
479,41.6730730534
480,200.0
481,200.0
482,34.6687951088
483,200.0
484,200.0
485,42.3705351353
486,200.0
487,44.0043067932
488,35.668170929
489,25.0096378326
490,28.6825530529
491,200.0
492,45.68460989
493,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,54.3552660942
501,58.3603360653
502,41.0264370441
503,34.682723999
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,40.6686971188
512,27.3447160721
513,38.6677429676
514,200.0
515,200.0
516,51.0096871853
517,35.0235300064
518,31.0224990845
519,40.0320048332
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,37.023758173
528,32.3517448902
529,28.3533101082
530,200.0
531,200.0
532,200.0
533,34.3562889099
534,35.670992136
535,42.6703839302
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,47.6725430489
544,61.004598856
545,45.3679718971
546,200.0
547,200.0
548,79.3386280537
549,42.6713600159
550,40.032407999
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,28.351722002
559,37.0248680115
560,39.36124897
561,200.0
562,200.0
563,44.3379421234
564,38.6682782173
565,98.0227940083
566,59.7013731003
567,35.6701219082
568,37.3544838428
569,50.3411130905
570,200.0
571,32.0214591026
572,38.6695079803
573,37.6691908836
574,39.6708698273
575,29.3460221291
576,200.0
577,200.0
578,42.3652460575
579,37.6676859856
580,91.3398909569
581,200.0
582,52.3497819901
583,46.3389248848
584,45.0072569847
585,81.3378210068
586,37.0254209042
587,52.6791231632
588,40.0260000229
589,31.0060281754
590,31.3474259377
591,200.0
592,200.0
593,200.0
594,200.0
595,43.363628149
596,58.3633990288
597,200.0
598,73.6915228367
599,46.369674921
600,34.3496448994
601,44.3698348999
602,44.0297920704
603,55.0083091259
604,32.6815879345
605,31.6806249619
606,33.6815681458
607,41.0274529457
608,200.0
609,200.0
610,200.0
611,42.0329320431
612,39.6697669029
613,46.3699500561
614,50.0123801231
615,46.6779549122
616,44.6721749306
617,37.6753900051
618,59.6880919933
619,44.0284070969
620,200.0
621,200.0
622,49.6806399822
623,94.6780459881
624,120.002650976
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,61.0030660629
640,80.3362219334
641,200.0
642,200.0
643,44.3378338814
644,44.6751081944
645,200.0
646,200.0
647,200.0
648,200.0
649,200.0
650,200.0
651,200.0
652,200.0
653,28.3645000458
