,411
1000,200.0
412,200.0
413,69.3692340851
414,34.0142841339
415,34.3474850655
416,200.0
417,31.0078918934
418,28.3678262234
419,22.6708569527
420,19.3446400166
421,17.6750559807
422,32.6796228886
423,16.6721339226
424,18.6773309708
425,14.034320116
426,200.0
427,200.0
428,13.0317459106
429,11.3361229897
430,15.6705071926
431,9.02249288559
432,15.037612915
433,200.0
434,200.0
435,200.0
436,200.0
437,200.0
438,27.3678491116
439,25.0230281353
440,24.6727120876
441,22.6688461304
442,20.0074150562
443,20.6813960075
444,21.0132710934
445,19.0080721378
446,25.0238158703
447,17.3426020145
448,17.0052998066
449,15.3376760483
450,21.3521199226
451,10.6904389858
452,11.0279240608
453,9.68545103073
454,11.690158844
455,200.0
456,34.6820781231
457,26.6694459915
458,55.6927521229
459,24.0186958313
460,23.3536288738
461,29.0026800632
462,200.0
463,57.6722609997
464,72.0059211254
465,19.6803770065
466,32.0048100948
467,25.3581359386
468,61.0041768551
469,23.3527488708
470,14.0315890312
471,12.0313310623
472,10.340914011
473,10.3410439491
474,21.0153610706
475,200.0
476,200.0
477,36.687030077
478,38.3552720547
479,200.0
480,48.6792118549
481,55.3357069492
482,61.6764781475
483,23.354074955
484,68.3608849049
485,43.0027389526
486,28.0340759754
487,29.0030469894
488,19.007983923
489,31.3708879948
490,26.0241131783
491,28.3689000607
492,27.6687719822
493,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,89.0074460506
501,56.669424057
502,51.0252568722
503,91.3405239582
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,200.0
512,18.6764500141
513,26.0244140625
514,200.0
515,200.0
516,200.0
517,98.6993851662
518,34.6851410866
519,29.6727800369
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,200.0
528,200.0
529,39.0078618526
530,200.0
531,200.0
532,200.0
533,35.347951889
534,39.0028059483
535,43.3649311066
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,19.3460981846
544,200.0
545,37.6922328472
546,200.0
547,200.0
548,80.6977300644
549,278.671700001
550,69.6698660851
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,82.7031579018
559,25.6696920395
560,74.0110039711
561,200.0
562,200.0
563,200.0
564,39.0028591156
565,37.0036439896
566,200.0
567,39.3604772091
568,29.3361752033
569,52.026034832
570,200.0
571,200.0
572,200.0
573,20.6813769341
574,21.6785998344
575,35.3500311375
576,200.0
577,200.0
578,45.0017302036
579,41.0043468475
580,45.3440289497
581,41.3603000641
582,148.683826923
583,66.6688659191
584,55.0352900028
585,30.3360390663
586,200.0
587,29.6730871201
588,65.0195839405
589,26.3638899326
590,26.6685171127
591,200.0
592,200.0
593,200.0
594,200.0
595,69.031211853
596,36.3516080379
597,37.3540010452
598,37.6938040257
599,31.3402509689
600,49.3376820087
601,50.6799860001
602,50.3404181004
603,26.6708450317
604,27.3683288097
605,22.6839129925
606,52.027741909
607,200.0
608,42.6971969604
609,200.0
610,200.0
611,75.3382301331
612,200.0
613,52.3503260612
614,44.6741540432
615,30.3393790722
616,43.0021870136
617,37.0174231529
618,36.6856739521
619,28.3680951595
620,200.0
621,200.0
622,200.0
623,200.0
624,63.6764891148
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,40.6942620277
640,32.3372149467
641,200.0
642,200.0
643,200.0
644,65.0176458359
645,200.0
646,200.0
647,200.0
648,200.0
649,200.0
650,200.0
651,200.0
652,200.0
653,200.0
