,384
1000,20.3365991116
385,2.00296807289
386,200.0
387,200.0
388,200.0
389,200.0
390,200.0
391,22.6962230206
392,200.0
393,28.0016829967
394,67.6977641582
395,18.3347699642
396,18.3410420418
397,17.6900289059
398,14.3353281021
399,15.6859669685
400,17.6905930042
401,13.0200190544
402,14.3368360996
403,11.680781126
404,13.0203130245
405,9.01431894302
406,7.67417383194
407,6.67446708679
408,6.3405520916
409,3.3356821537
410,200.0
411,200.0
412,200.0
413,77.3403718472
414,41.3584089279
415,47.0312008858
416,200.0
417,200.0
418,18.0269341469
419,17.0258619785
420,16.3375079632
421,35.3512780666
422,16.3383741379
423,110.019836903
424,19.691133976
425,13.3493177891
426,200.0
427,200.0
428,11.6799991131
429,8.01142096519
430,7.67433285713
431,8.67556381226
432,5.67111492157
433,200.0
434,200.0
435,200.0
436,200.0
437,200.0
438,26.0014901161
439,25.6692750454
440,24.6705448627
441,34.0116770267
442,23.6973838806
443,62.3500370979
444,18.6905860901
445,24.3346321583
446,18.0282950401
447,21.6934189796
448,16.687620163
449,65.3584618568
450,82.3482661247
451,8.01132106781
452,9.34439897537
453,7.67454695702
454,33.0113289356
455,200.0
456,81.3475990295
457,25.3372890949
458,28.0016868114
459,23.6967668533
460,35.3513481617
461,21.3372859955
462,20.3358368874
463,60.0024189949
464,23.336867094
465,18.691685915
466,17.0248749256
467,49.0015029907
468,38.0202629566
469,18.3377449512
470,25.0366029739
471,11.349476099
472,70.3348088264
473,200.0
474,25.0037798882
475,200.0
476,200.0
477,58.6848978996
478,36.0148448944
479,38.670083046
480,200.0
481,40.0234220028
482,200.0
483,48.0299022198
484,200.0
485,200.0
486,30.3433198929
487,200.0
488,52.3402428627
489,46.6679878235
490,39.020127058
491,64.3545460701
492,14.0203859806
493,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,77.671118021
501,28.3399350643
502,50.6706309319
503,39.6693279743
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,36.6835401058
512,174.351535797
513,48.6695518494
514,200.0
515,200.0
516,66.0084550381
517,52.0062670708
518,40.0203080177
519,200.0
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,75.6719620228
528,120.339373112
529,54.6808989048
530,200.0
531,200.0
532,200.0
533,124.015000105
534,102.008189917
535,32.0092048645
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,32.3471281528
544,200.0
545,36.6818909645
546,200.0
547,200.0
548,46.3664178848
549,200.0
550,110.360844135
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,31.6765210629
559,24.6983020306
560,61.6859140396
561,200.0
562,200.0
563,200.0
564,200.0
565,59.0026071072
566,44.0294289589
567,43.0222289562
568,200.0
569,200.0
570,44.6704399586
571,200.0
572,200.0
573,80.3476819992
574,55.3434350491
575,200.0
576,200.0
577,200.0
578,200.0
579,34.3483211994
580,102.346217155
581,166.3393929
582,200.0
583,68.6966350079
584,44.0263819695
585,62.0061221123
586,36.0135378838
587,50.6731460094
588,28.3396608829
589,24.6984989643
590,22.3388409615
591,200.0
592,200.0
593,200.0
594,200.0
595,67.0023989677
596,200.0
597,62.005546093
598,200.0
599,200.0
600,29.006455183
601,37.671325922
602,50.6745691299
603,27.0027699471
604,43.3616080284
605,65.6956961155
606,26.3393228054
607,21.337567091
608,48.6695780754
609,200.0
610,200.0
611,38.670140028
612,200.0
613,83.6829760075
614,39.0198609829
615,37.0176978111
616,72.7027349472
617,25.03616786
618,27.3408441544
619,200.0
620,88.02709198
621,200.0
622,200.0
623,28.6723880768
624,200.0
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,37.3548438549
640,200.0
641,200.0
642,200.0
643,200.0
644,35.0148119926
645,200.0
646,200.0
647,200.0
648,33.3479399681
649,200.0
650,200.0
651,200.0
652,200.0
653,74.3426430225
