,358
1000,19.3347020149
359,2.00320792198
360,2.66880297661
361,3.66873502731
362,4.67147707939
363,5.3387761116
364,6.34260296822
365,7.01017689705
366,7.67807388306
367,11.3475599289
368,200.0
369,200.0
370,200.0
371,9.34698009491
372,8.34386396408
373,8.34362196922
374,6.34454607964
375,5.6714990139
376,5.00971508026
377,3.00465989113
378,5.00973200798
379,3.6689620018
380,4.00837397575
381,5.00731706619
382,5.67471718788
383,6.34059405327
384,8.01605296135
385,10.0150690079
386,200.0
387,200.0
388,200.0
389,17.6935391426
390,30.6810359955
391,25.0016849041
392,200.0
393,22.3359549046
394,20.3365190029
395,10.3357601166
396,8.67543888092
397,8.01328802109
398,7.01158595085
399,6.00839805603
400,5.34266805649
401,4.3378059864
402,5.34253907204
403,7.0102789402
404,5.67503285408
405,4.67043805122
406,5.34119009972
407,6.00849699974
408,7.0129711628
409,8.34328818321
410,8.34329009056
411,200.0
412,200.0
413,98.3585019112
414,16.3400599957
415,15.6864888668
416,200.0
417,14.0202441216
418,10.6817469597
419,10.0162670612
420,9.3449280262
421,8.01425099373
422,7.67393302917
423,6.34216284752
424,6.00975012779
425,6.34022593498
426,200.0
427,200.0
428,14.3345119953
429,5.67145299911
430,6.34226202965
431,6.33996987343
432,9.01306200027
433,200.0
434,200.0
435,200.0
436,200.0
437,200.0
438,20.0289840698
439,22.6979210377
440,17.3410029411
441,12.0165519714
442,11.0199770927
443,10.3488719463
444,9.01252388954
445,8.0159060955
446,7.67431616783
447,7.01085805893
448,6.01003599167
449,17.688324213
450,17.0315749645
451,6.34270811081
452,6.34044790268
453,7.34332203865
454,200.0
455,200.0
456,19.0282399654
457,15.3409481049
458,14.6912050247
459,14.3405790329
460,12.6812930107
461,12.0177719593
462,11.0202190876
463,10.3471820354
464,9.67724919319
465,8.68052506447
466,8.67616605759
467,7.67630815506
468,7.3440759182
469,32.6763670444
470,18.0254299641
471,200.0
472,200.0
473,200.0
474,200.0
475,200.0
476,200.0
477,25.3367359638
478,17.3395910263
479,21.335340023
480,14.0226800442
481,14.3395018578
482,37.0217568874
483,12.6827480793
484,200.0
485,200.0
486,200.0
487,16.3401658535
488,8.01195693016
489,8.34277892113
490,9.01379585266
491,20.6936151981
492,27.0072710514
493,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,19.0290620327
501,16.3378720284
502,22.6959049702
503,16.6865320206
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,12.3341970444
512,9.01357412338
513,28.6756300926
514,200.0
515,200.0
516,31.0141170025
517,18.6954748631
518,17.3417611122
519,17.0244967937
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,11.3343029022
528,10.0144429207
529,76.6804270744
530,200.0
531,200.0
532,200.0
533,18.0317101479
534,18.0329959393
535,17.3370778561
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,11.3347101212
544,10.3486158848
545,27.0059359074
546,200.0
547,200.0
548,18.0294239521
549,200.0
550,20.0301878452
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,11.6803240776
559,11.016700983
560,13.6867511272
561,200.0
562,200.0
563,21.6960189342
564,18.6918811798
565,24.6677591801
566,30.6813340187
567,27.0041689873
568,17.0245258808
569,17.6918330193
570,19.03058815
571,15.3420650959
572,30.6797881126
573,14.6834969521
574,13.0204560757
575,12.6829359531
576,200.0
577,200.0
578,44.6681900024
579,43.672670126
580,20.6985909939
581,31.3486440182
582,17.6929731369
583,18.6914799213
584,25.0041220188
585,16.024823904
586,15.3353099823
587,14.6866180897
588,13.3346478939
589,13.0208208561
590,33.35435009
591,200.0
592,200.0
593,200.0
594,200.0
595,20.3359479904
596,30.3469290733
597,20.3372809887
598,21.3343369961
599,17.335490942
600,16.3383769989
601,19.690582037
602,14.3364050388
603,14.3385968208
604,13.6863770485
605,14.0218131542
606,40.364636898
607,56.3494851589
608,23.6682040691
609,200.0
610,200.0
611,21.6956729889
612,23.033864975
613,21.032916069
614,28.6763210297
615,44.3695230484
616,18.0318179131
617,18.3347771168
618,18.3341190815
619,27.6679759026
620,200.0
621,200.0
622,40.6691708565
623,52.0017960072
624,200.0
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,200.0
640,17.3345010281
641,200.0
642,200.0
643,200.0
644,91.366505146
645,200.0
646,200.0
647,200.0
648,200.0
649,200.0
650,200.0
651,200.0
652,200.0
653,12.3374738693
