,479
1000,27.0102760792
480,2.00398898125
481,5.34108304977
482,6.01055121422
483,7.67656207085
484,16.3356420994
485,8.34696912766
486,8.67888689041
487,10.6818799973
488,11.0197348595
489,10.6817100048
490,12.0205011368
491,25.3419849873
492,47.3472499847
493,200.0
494,200.0
495,200.0
496,200.0
497,200.0
498,200.0
499,200.0
500,6.34201908112
501,5.00915002823
502,3.0056219101
503,11.0210151672
504,200.0
505,200.0
506,200.0
507,200.0
508,200.0
509,200.0
510,200.0
511,13.3374190331
512,18.6952841282
513,15.6909971237
514,200.0
515,200.0
516,7.34477996826
517,4.33924007416
518,3.67008805275
519,11.3356099129
520,200.0
521,200.0
522,200.0
523,200.0
524,200.0
525,200.0
526,200.0
527,19.035143137
528,13.6861820221
529,14.0226840973
530,200.0
531,200.0
532,200.0
533,5.00934815407
534,4.67158102989
535,19.031826973
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,24.0058319569
544,13.0229182243
545,23.3403251171
546,200.0
547,200.0
548,9.01533985138
549,5.33949899673
550,17.6966462135
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,36.3654460907
559,14.6900010109
560,16.0291600227
561,200.0
562,200.0
563,7.01131010056
564,6.34374499321
565,17.3345501423
566,17.6959400177
567,34.0233459473
568,27.0107500553
569,20.33446908
570,23.6745040417
571,29.3504669666
572,28.010436058
573,29.0140321255
574,26.008644104
575,15.3401749134
576,200.0
577,200.0
578,7.67585897446
579,7.01276302338
580,13.6873700619
581,16.3368449211
582,18.0304009914
583,24.0049409866
584,12.3367929459
585,27.3456869125
586,21.0373549461
587,30.3534700871
588,31.3529169559
589,22.3373990059
590,31.3557560444
591,200.0
592,200.0
593,200.0
594,200.0
595,8.01324486732
596,11.018955946
597,20.0355300903
598,31.355506897
599,18.3377580643
600,21.6682598591
601,16.3354840279
602,30.3531608582
603,27.6803882122
604,23.3430421352
605,18.0353450775
606,21.3360240459
607,38.3665649891
608,200.0
609,200.0
610,200.0
611,9.01571393013
612,19.3354890347
613,20.0344510078
614,24.6739580631
615,41.6738388538
616,18.3358421326
617,57.3648319244
618,31.0205841064
619,24.004652977
620,200.0
621,25.3422811031
622,200.0
623,25.3430230618
624,200.0
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,200.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,69.0184371471
640,26.3458878994
641,200.0
642,200.0
643,74.0265729427
644,28.0100259781
645,200.0
646,200.0
647,32.67076087
648,62.6688010693
649,200.0
650,200.0
651,200.0
652,200.0
653,40.3607108593
