episode,loss
1,7.08924e-05
2,7.06914e-05
3,8.36591e-05
4,9.12763e-05
5,7.76686e-05
6,0.000103732
7,0.000124558
8,0.000113091
9,0.000138968
10,0.00011818
11,8.53306e-05
12,0.000108256
13,9.45276e-05
14,8.62006e-05
15,7.53129e-05
16,0.000124883
17,8.30917e-05
18,8.81692e-05
19,0.000112233
20,0.000137837
21,6.52343e-05
22,8.46386e-05
23,0.000119505
24,6.54567e-05
25,9.53423e-05
26,9.34238e-05
27,9.81853e-05
28,8.26783e-05
29,9.52782e-05
30,8.95188e-05
31,9.4381e-05
32,0.000108266
33,0.000128389
34,9.13131e-05
35,0.000116329
36,6.04792e-05
37,9.93003e-05
38,0.000119923
39,9.71303e-05
40,0.000101686
41,9.52903e-05
42,0.000105398
43,8.95594e-05
44,0.000115772
45,0.000137952
46,9.13271e-05
47,7.81056e-05
48,7.14455e-05
49,9.31407e-05
50,7.8139e-05
51,9.64029e-05
52,6.31037e-05
53,0.000111761
54,0.000110484
55,8.0635e-05
56,0.000118675
57,0.00012993
58,0.000132565
59,7.75208e-05
60,0.000130029
61,7.2399e-05
62,8.30675e-05
63,0.000102623
64,0.000120754
65,9.30478e-05
66,7.82526e-05
67,0.000118748
68,8.79168e-05
69,6.40776e-05
70,8.86505e-05
71,7.91039e-05
72,8.49634e-05
73,9.66671e-05
74,7.29863e-05
75,9.81673e-05
76,0.00012037
77,9.12196e-05
78,0.000125919
79,9.68151e-05
80,0.000108893
81,0.000116506
82,0.000111524
83,0.000104294
84,0.000116204
85,9.66886e-05
86,7.29146e-05
87,0.000108968
88,8.38513e-05
89,0.000117132
90,0.000120327
91,0.000197886
92,0.00014673
93,9.64338e-05
94,0.000124011
95,8.68083e-05
96,0.000121294
97,9.50431e-05
98,0.000152275
99,9.48927e-05
100,9.14053e-05
101,0.000111807
102,0.00011199
103,0.0001169
104,0.000100127
105,0.000131126
106,9.00867e-05
107,0.000122959
108,9.85062e-05
109,0.000135845
110,8.65937e-05
111,9.64648e-05
112,0.000137117
113,9.90025e-05
114,0.000119169
115,7.26754e-05
116,0.00012194
117,9.37546e-05
118,0.000126704
119,0.000127684
120,0.00014577
121,0.000139185
122,0.000102587
123,8.09022e-05
124,0.000124119
125,0.000110228
126,8.49744e-05
127,0.000106116
128,0.000129602
129,7.51231e-05
130,9.96815e-05
131,0.000101053
132,0.000101698
133,0.000116173
134,8.34116e-05
135,9.16648e-05
136,0.00014897
137,0.000135758
138,0.000115389
139,7.15451e-05
140,0.000105443
141,0.000122375
142,7.86645e-05
143,0.000106672
144,0.000130293
145,9.31967e-05
146,6.12177e-05
147,0.000149342
148,9.06501e-05
149,0.000128961
150,0.000121077
151,9.50997e-05
152,8.93413e-05
153,7.5819e-05
154,0.000137443
155,0.000103811
156,0.000143919
157,8.07112e-05
158,0.000126057
159,0.000101686
160,8.46319e-05
161,0.000148957
162,6.9888e-05
163,8.47158e-05
164,0.000101925
165,9.31556e-05
166,0.000129237
167,8.62642e-05
168,0.000100876
169,9.61324e-05
170,8.98104e-05
171,0.000107844
172,0.000105225
173,0.000119446
174,0.000109215
175,7.29053e-05
176,8.17259e-05
177,0.000100558
178,0.000148646
179,0.000130256
180,0.000128096
181,0.000101957
182,0.00011907
183,0.000167194
184,9.32873e-05
185,0.000110904
186,0.00010631
187,6.56276e-05
188,8.21547e-05
189,8.5544e-05
190,0.000115613
191,9.75619e-05
192,6.46288e-05
193,0.000116466
194,0.00012662
195,0.000142192
196,0.000130002
197,0.000100912
198,0.000128112
199,9.18836e-05
200,9.49377e-05
201,0.000110149
202,0.000109983
203,0.000107045
204,9.60589e-05
205,9.12551e-05
206,0.00011367
207,6.75981e-05
208,8.45735e-05
209,0.000115824
210,8.90081e-05
211,8.26648e-05
212,0.000103136
213,5.90462e-05
214,7.12849e-05
215,6.67208e-05
216,0.000157507
217,0.000114199
218,0.000100826
219,0.000116677
220,9.44555e-05
221,8.37695e-05
222,0.000106067
223,9.08458e-05
224,0.000102764
225,9.529e-05
226,0.000126192
227,8.29481e-05
228,0.000129249
229,9.72471e-05
230,0.000111878
231,0.000118235
232,8.90752e-05
233,7.42108e-05
234,7.68906e-05
235,7.72118e-05
236,0.00015072
237,0.000103585
238,0.000102614
239,0.000115162
240,0.000112418
241,7.01452e-05
242,8.30471e-05
243,0.000134378
244,7.33892e-05
245,8.40346e-05
246,0.000124903
247,9.73507e-05
248,0.000152615
249,9.88977e-05
250,0.000127684
251,0.000127019
252,0.000131033
253,9.15699e-05
254,8.79726e-05
255,0.000112539
256,5.64063e-05
257,0.0001341
258,0.000121707
259,0.000125829
260,8.41888e-05
261,9.84092e-05
262,5.66756e-05
263,7.38929e-05
264,0.000128818
265,0.000192109
266,0.000140309
267,8.43676e-05
268,8.4409e-05
269,0.000164641
270,9.72078e-05
271,0.00012679
272,8.46025e-05
273,7.98156e-05
274,0.000107484
275,0.000106545
276,0.000113533
277,0.000135216
278,0.000146547
279,6.98288e-05
280,0.000121404
281,7.96932e-05
282,0.000105768
283,7.86772e-05
284,8.19307e-05
285,0.000125244
286,0.000139844
287,0.000112488
288,0.000105878
289,0.000111331
290,3.8803e-05
291,0.000118731
292,0.000111984
293,0.000133679
294,0.000116192
295,0.000104587
296,0.000122899
297,8.99702e-05
298,0.000118381
299,0.000103177
300,0.00011817
301,0.000143997
302,9.76006e-05
303,5.82374e-05
304,0.000111459
305,0.000115409
306,0.0001474
307,0.000108288
308,0.000105989
309,0.000167374
310,9.80247e-05
311,7.06142e-05
312,0.000122614
313,0.000109414
314,0.000119126
315,8.1679e-05
316,0.000138377
317,0.000126498
318,0.000133802
319,0.00013979
320,0.000129429
321,7.77832e-05
322,6.08976e-05
323,0.000101081
324,9.24991e-05
325,7.19421e-05
326,9.30657e-05
327,0.000101806
328,0.000122375
329,0.00015336
330,0.00010566
331,8.29134e-05
332,6.06267e-05
