pose,start,finish_time,goal_state
180,1515214981.836699,1515214986.844998,3
181,1515240057.641483,1515240062.649465,3
182,1515264958.232217,1515264963.904778,3
183,1515289513.113357,1515289519.122478,3
184,1515314510.49088,1515314516.831827,3
185,1515338972.024949,1515338980.369359,3
186,1515362194.105892,1515362204.451757,3
187,1515386307.914952,1515386318.261374,3
188,1515409130.867444,1515409161.876347,3
189,1515430892.774275,1515430904.45918,3
190,1515454088.123724,1515454166.797589,3
191,1515477222.209643,1515477232.891263,3
192,1515505402.197174,300.0,1
193,1515531051.129182,1515531069.827885,3
194,1515557019.807583,300.0,1
195,1515581453.48983,300.0,1
195,1515612563.543055,300.0,1
196,1515623839.789103,1515623849.469575,3
197,1515647604.335888,300.0,1
198,1515672941.476457,1515672962.73021,4
199,1515696701.29367,1515696722.651585,4
200,1515723806.511424,1515723827.867785,4
