116:125
142:152
169:179
196:205
225:232
251:259
278:286
298:313
325:340
352:367
379:394
406:421
433:448
460:480
487:507
514:539
552:566
579:593
606:620
633:647
660:674
687:701
714:728
736:755
764:782
791:809
817:836
838:862
865:889
892:906
908:913
918:933
935:941
945:968
972:988
999:1015
1026:1042
1054:1069
1081:1096
1108:1125
1136:1152
1163:1179
1190:1206
1229:1233
1256:1260
