episodes,explore,cost_function,episode_reward,wander,cells,total_rewards
61,80,969.21085815429683,1119.01052392059,0,"[319, 337, 354, 373, 399, 398, 423, 447, 448, 469]",875.01021616918695
62,72,802.29915771484377,497.79408106088999,0,"[319, 337, 354, 373, 399, 398]",1547.8843863818738
63,87,718.7945495605469,497.79408106088999,0,"[319, 337, 354, 373, 399, 398]",91.887195839558203
64,83,684.68867187499995,497.79408106088999,0,"[319, 337, 354, 373, 399, 398]",45.683390825423885
65,82,559.91020507812505,497.79408106088999,0,"[319, 337, 354, 373, 399, 398]",31.14076874749054
66,79,634.35463867187502,497.79408106088999,0,"[319, 337, 354, 373, 399, 398]",544.97703126251633
67,77,651.91637268066404,497.79408106088999,0,"[319, 337, 354, 373, 399, 398]",693.73850779978886
68,82,537.01861877441411,497.79408106088999,0,"[319, 337, 354, 373, 399, 398]",678.72822774598933
69,79,749.9445922851562,730.10179780408998,0,"[319, 337, 354, 373, 399, 423, 447, 469]",1199.1052194543356
70,79,592.96310119628902,730.10179780408998,0,"[319, 337, 354, 373, 399, 423, 447, 469]",1137.6608826840966
71,79,526.43150329589844,730.10179780408998,0,"[319, 337, 354, 373, 399, 423, 447, 469]",291.10051584886889
72,80,495.64761962890623,730.10179780408998,0,"[319, 337, 354, 373, 399, 423, 447, 469]",678.41006523421913
73,79,444.51963500976564,872.13551705709006,0,"[319, 337, 354, 373, 398, 399, 423, 447, 469]",151.0569830978329
74,79,448.78756408691407,730.10179780408998,0,"[319, 337, 354, 373, 399, 423, 447, 469]",501.7544775820333
75,76,449.39752197265625,509.78775035488997,0,"[319, 337, 354, 373, 398, 399]",498.04169041456385
76,83,445.02764587402345,872.13551705709006,0,"[319, 337, 354, 373, 398, 399, 423, 447, 469]",953.88089019349104
77,70,434.8975830078125,509.78775035488997,0,"[319, 337, 354, 373, 398, 399]",712.3576846729236
78,79,981.76480102539062,509.78775035488997,0,"[319, 337, 354, 373, 398, 399]",-311.5488520860722
86,76,546.12370605468755,509.78775035488997,0,"[319, 337, 354, 373, 398, 399]",1170.5800356781438
87,77,469.09233093261719,509.78775035488997,0,"[319, 337, 354, 373, 398, 399]",378.50365283064366
88,84,402.74895324707029,811.82818473088992,0,"[319, 337, 354, 373, 398, 423, 448, 447]",1057.0988711729974
89,76,617.08982543945308,811.82818473088992,0,"[319, 337, 354, 373, 398, 423, 448, 447]",320.53690799834641
90,83,513.89026794433596,811.82818473088992,0,"[319, 337, 354, 373, 398, 423, 448, 447]",766.34525373046495
91,81,419.76076660156252,811.82818473088992,0,"[319, 337, 354, 373, 398, 423, 448, 447]",-481.83658058196124
92,78,456.18276672363282,946.86365197888995,0,"[319, 337, 354, 373, 399, 398, 423, 448, 447]",634.95954427855827
93,80,597.52216796874995,946.86365197888995,0,"[319, 337, 354, 373, 399, 398, 423, 448, 447]",948.99419956909776
94,82,449.52056274414065,946.86365197888995,0,"[319, 337, 354, 373, 399, 398, 423, 448, 447]",-162.4227949531365
95,82,352.14537658691404,760.73830626439008,0,"[319, 337, 354, 373, 399, 423, 448, 447]",600.51376682488149
96,89,308.74894104003909,811.82818473088992,0,"[319, 337, 354, 373, 398, 423, 448, 447]",-39.133716936275064
97,72,258.31745452880858,760.73830626439008,0,"[319, 337, 354, 373, 399, 423, 448, 447]",1148.0855007577663
98,78,454.66999816894531,569.03026601439001,0,"[319, 337, 354, 373, 399, 423, 398]",-398.61518554467079
99,76,403.04722290039064,760.73830626439008,0,"[319, 337, 354, 373, 399, 423, 448, 447]",454.03793918021825
100,83,471.47169189453126,569.03026601439001,0,"[319, 337, 354, 373, 399, 423, 398]",776.93313752794654
101,79,330.85265197753904,1050.7325922623902,0,"[319, 337, 354, 373, 399, 423, 448, 447, 469, 492]",1408.9566626639664
102,81,380.50063018798829,569.03026601439001,0,"[319, 337, 354, 373, 399, 423, 398]",1337.331542324426
103,79,734.90725402832027,1050.7325922623902,0,"[319, 337, 354, 373, 399, 423, 448, 447, 469, 492]",1683.385696601295
104,82,716.23836364746091,1050.7325922623902,0,"[319, 337, 354, 373, 399, 423, 448, 447, 469, 492]",451.69181140948336
105,78,624.84596252441406,1050.7325922623902,0,"[319, 337, 354, 373, 399, 423, 448, 447, 469, 492]",661.48089338398415
106,79,668.88816223144534,606.98875562028991,0,"[319, 337, 354, 373, 398, 423, 400]",745.26457390601581
107,84,581.8013854980469,1101.82247072889,0,"[319, 337, 354, 373, 398, 423, 448, 447, 469, 492]",64.556999048571669
108,78,479.49703369140627,598.2279823230499,0,"[319, 336, 354, 373, 398, 423, 400]",884.85475845572739
109,79,591.7076477050781,598.2279823230499,0,"[319, 336, 354, 373, 398, 423, 400]",687.32710807490525
110,80,449.92048034667971,598.2279823230499,0,"[319, 336, 354, 373, 398, 423, 400]",634.51770780998515
111,78,350.6384216308594,598.2279823230499,0,"[319, 336, 354, 373, 398, 423, 400]",807.42090956380218
112,84,765.09194030761716,598.2279823230499,0,"[319, 336, 354, 373, 398, 423, 400]",182.70573713259171
