iterations,reward
1,0.13655
2,0.5594
3,0.6959500000000001
4,0.83525
5,0.90685
6,1.6607
7,2.27325
8,2.69745
9,3.0837
1,0.9744
2,1.713
3,1.8853
4,2.34235
5,3.2317
6,3.9657
7,0.1503
8,0.56835
9,0.87245
10,1.49085
11,1.6939
12,1.72355
13,2.65535
14,3.0864499999999997
15,3.3027999999999995
16,3.7338999999999993
17,4.6579999999999995
18,5.4006
19,6.1868
20,6.40025
21,7.32425
22,0.27395
23,1.08775
24,2.06825
25,3.0313
26,3.24145
27,4.10355
28,4.9219
29,5.0889
30,6.0691
31,0.5305
32,0.9947999999999999
33,1.95945
34,2.0225999999999997
35,2.7500999999999998
36,2.9058499999999996
37,3.7118999999999995
38,3.9427999999999996
39,4.905849999999999
40,5.552249999999999
41,5.774449999999999
42,5.796599999999999
43,6.535749999999998
44,0.29375
45,0.96295
46,0.8953
47,0.90695
48,1.62065
1,0.77045
2,1.48895
3,1.61195
4,2.32565
5,2.7903000000000002
6,3.72905
7,3.86385
8,4.200699999999999
9,0.1744
10,0.58815
11,0.814
12,1.58005
13,2.1875
14,0.3418
15,0.8603
16,0.96785
17,1.1391499999999999
18,1.2784499999999999
19,1.891
20,2.0303
21,2.87195
22,3.6737
23,3.95085
24,4.48535
25,5.0996500000000005
26,6.046100000000001
27,7.045350000000001
28,7.730800000000001
29,8.261300000000002
30,9.241500000000002
31,0.3909
32,0.63695
33,0.8395
34,1.30355
35,1.57405
36,1.5961999999999998
37,2.24605
38,2.8705499999999997
39,0.8547
40,1.2848
41,2.24945
42,2.2888
43,2.5627500000000003
44,2.8399
45,3.3744
46,3.3928000000000003
47,4.10775
48,4.4121500000000005
49,5.2305
50,5.9991
51,0.61185
52,1.43155
53,1.4792500000000002
54,1.9195000000000002
55,2.8775500000000003
56,3.4981500000000003
57,4.2686
58,4.558
59,5.30915
60,6.0598
61,0.16435
62,0.89085
63,1.2538
64,1.4261
65,1.8831499999999999
1,0.5078
2,0.49305
3,1.2273999999999998
4,1.6676499999999999
5,2.6256999999999997
6,3.2840999999999996
7,3.8204999999999996
8,4.59385
9,4.9487
10,5.722049999999999
11,6.076899999999999
12,6.58325
13,6.998349999999999
14,7.716849999999999
15,8.1847
16,8.9032
17,8.9517
18,9.550450000000001
19,9.628200000000001
20,9.664850000000001
21,10.11335
22,11.0027
23,11.7367
24,0.21635
25,0.246
1,0.02965
2,0.5326
3,0.647
4,1.50485
5,1.6407
6,1.85705
7,1.8867
8,2.8185000000000002
9,2.8481500000000004
10,3.7098000000000004
11,0.46165
12,0.6362
13,1.59175
14,2.5446
15,3.0257
16,3.3636
17,4.22855
18,4.9259
19,5.65225
20,6.038150000000001
21,6.210450000000001
22,6.6675
23,7.5192000000000005
24,7.5969500000000005
25,8.56305
26,9.4997
27,10.0173
28,0.6529
29,1.5681500000000002
30,2.56645
31,3.2907
1,0.5442
2,0.76295
3,1.066
4,1.11405
5,1.13665
6,1.34045
7,2.33925
8,2.7768499999999996
9,3.2065999999999995
10,3.2576499999999995
11,4.008649999999999
12,4.107849999999999
13,4.177849999999999
14,4.277049999999999
15,4.293599999999999
16,4.557349999999999
17,4.805349999999999
18,5.242049999999999
19,5.527949999999999
20,6.429449999999999
21,6.859999999999999
22,6.950099999999999
23,7.413649999999999
24,7.434499999999999
25,8.28
26,8.9277
27,0.23435
28,0.6979
29,1.1360999999999999
30,1.55165
31,0.0978
32,1.06235
33,1.8617
34,0.9329
35,1.1107
36,2.0781
37,2.25855
38,3.25115
39,3.4316
40,3.8815
41,3.92955
42,3.95215
43,4.5136
44,4.54135
45,4.5924000000000005
46,5.343400000000001
47,6.003500000000001
48,6.506450000000001
49,7.160750000000001
50,7.384500000000001
51,7.866550000000001
52,8.2963
53,8.34735
54,9.09835
55,9.19815
56,9.90965
57,10.560949999999998
58,10.863249999999999
59,0.73135
60,1.5402999999999998
61,0.80165
62,0.7206
63,0.93915
64,1.33985
65,1.82565
66,2.25345
67,0.3053
68,0.32715
69,0.5632
70,1.4961
71,1.9339
72,0.50035
73,1.1372499999999999
74,0.72285
75,0.32255
76,1.2570000000000001
77,1.8606500000000001
78,0.4007
79,1.20235
80,0.57905
81,0.8043
82,1.64805
83,0.80165
84,0.6871
85,0.8022
86,1.4636
87,1.72375
88,2.0488
89,2.52805
90,3.44785
91,0.82395
92,1.60045
93,2.2737499999999997
94,2.7392
95,2.98
96,2.98915
97,3.40245
98,3.4116
99,3.8249
100,4.6936
101,4.9344
102,4.94355
103,4.9577
104,0.93445
105,1.5381
106,0.46545
107,0.7062499999999999
108,0.7153999999999999
109,1.1286999999999998
110,1.6456999999999997
111,1.6796499999999996
112,1.8990499999999997
113,2.34895
114,2.5683499999999997
115,3.0182499999999997
116,3.2376499999999995
117,3.6875499999999994
118,3.9069499999999993
119,4.35685
120,4.968999999999999
121,5.002949999999999
122,5.22235
123,5.67225
124,5.89165
125,6.341550000000001
126,6.560950000000001
127,7.010850000000001
128,7.230250000000002
129,7.680150000000002
130,7.899550000000002
131,8.349450000000003
132,8.568850000000003
133,9.018750000000002
134,9.630900000000002
135,10.149500000000002
136,10.450800000000001
137,10.556450000000002
138,10.720650000000001
139,10.826300000000002
140,10.83275
141,11.38395
142,12.2588
143,12.715300000000001
144,13.4923
145,13.7403
146,14.4221
147,15.0624
148,15.17915
149,16.03915
150,16.2968
151,16.5328
152,16.573400000000003
153,16.990400000000005
154,17.039250000000006
155,17.580850000000005
156,18.061250000000005
157,0.91495
158,1.72085
159,2.5018000000000002
160,3.4362500000000002
161,4.0399
162,0.236
163,0.27659999999999996
164,0.6936
165,0.7424499999999999
166,1.28405
167,1.7644499999999999
168,0.102
169,0.42485
170,1.26305
171,2.18185
172,0.05105
173,0.7625500000000001
174,1.3883
175,2.1393
176,2.62135
177,3.322
178,3.43575
179,3.7714
180,4.24505
181,4.3794
182,4.6862
183,4.9754000000000005
184,5.8448
185,6.06595
186,6.88965
187,7.17885
188,8.09865
189,0.777
190,1.025
191,1.3798
192,1.6158
193,2.166
194,2.2993
195,2.92835
196,3.1922
197,3.67395
198,3.9378
199,4.3835500000000005
200,5.261100000000001
201,0.9198
202,0.60365
203,0.32505
204,0.6355
205,0.83545
206,1.7443
207,0.5416
208,1.022
209,0.4004
210,0.6862999999999999
211,1.1081999999999999
212,1.2414999999999998
213,1.8705499999999997
214,2.1344
215,2.5801499999999997
216,3.4577
217,0.89885
218,1.5183
219,1.9461
220,0.6871
221,0.8022
222,1.4636
223,1.72375
224,2.0488
225,2.35925
226,0.27885
227,0.7904
228,1.02475
229,1.99095
230,2.2932
231,2.7476000000000003
232,3.2035500000000003
233,3.6042500000000004
234,4.405900000000001
235,0.6713
236,1.29705
237,2.04805
238,2.70815
239,3.2111
240,3.673
241,3.8063000000000002
242,4.435350000000001
243,4.6992
244,5.144950000000001
245,6.022500000000001
246,0.53785
247,0.6523000000000001
248,0.7055500000000001
249,1.3186
250,2.15405
251,3.0629
252,0.3548
253,0.5908
254,0.6314
255,1.0484
256,1.69835
257,2.11535
258,2.1641999999999997
259,2.7057999999999995
260,3.1861999999999995
261,0.83545
262,1.36145
263,2.28025
264,0.11845
265,0.8565499999999999
266,1.2569499999999998
267,1.5428499999999998
268,1.9647499999999998
269,2.0980499999999997
270,2.7270999999999996
271,2.9909499999999998
272,3.4726999999999997
273,3.73655
274,4.1823
275,5.05985
276,0.6614
277,0.88255
278,1.54395
279,1.8041
280,1.8244
281,2.75885
282,3.3625
283,0.62575
284,1.37675
285,2.03685
286,2.5397999999999996
287,3.4547499999999998
288,4.26065
289,5.0416
290,5.97605
291,6.5797
292,0.4544
293,0.91035
294,1.31105
295,2.1127000000000002
296,0.6601
297,1.1630500000000001
298,2.0780000000000003
299,2.8839
300,3.6648500000000004
301,4.5993
302,5.20295
303,0.1097
304,0.6539
305,1.64015
306,1.9758
307,2.44945
308,2.5838
309,3.4598
310,3.59415
311,4.47015
312,4.604500000000001
313,5.480500000000001
314,5.6148500000000015
315,5.921650000000001
316,6.2108500000000015
317,7.130650000000001
318,0.32505
319,0.6355
320,0.4565
321,1.2335
322,1.4815
323,1.8363
324,2.0723000000000003
325,2.1129000000000002
326,2.5299
327,2.57875
328,3.1203499999999997
329,3.6007499999999997
330,0.10565
331,0.38959999999999995
332,1.3883999999999999
333,1.8259999999999998
334,2.0103999999999997
335,2.99665
336,3.3323
337,3.80595
338,3.9403
339,4.2471000000000005
340,4.536300000000001
341,5.456100000000001
342,0.78095
343,1.7154
344,2.31905
345,0.6871
346,0.8022
347,1.4636
348,1.72375
349,2.0488
350,2.35925
351,0.8059
352,1.58685
353,2.5213
354,3.12495
355,0.102
356,0.42485
357,1.26305
358,2.18185
359,0.2038
360,1.2026000000000001
361,1.6402
362,2.34085
363,3.02795
364,3.14305
365,3.80445
366,4.0646
367,4.3896500000000005
368,4.700100000000001
369,0.1151
370,0.7765
371,1.0366499999999998
372,1.3617
373,1.6721499999999998
374,0.4127
375,0.45330000000000004
376,0.8703000000000001
377,0.91915
378,1.46075
379,1.94115
380,0.36045
381,1.20595
382,1.64415
383,2.1985
384,2.3594
385,3.25825
386,3.8777
387,4.3055
388,0.9188
389,0.62905
390,0.8929
391,1.33865
392,2.2161999999999997
393,0.3013
394,0.40695000000000003
395,0.6909000000000001
396,1.66535
397,2.2911
398,3.0421
399,3.7022
400,4.20515
401,5.1201
402,5.1438
403,5.77285
404,6.0367
405,6.48245
406,7.36
407,0.32505
408,0.6355
409,0.8059
410,1.58685
411,2.5213
