episodes,loss,rewards,epsilon
516,1.48451,32.21278827165315,1.1998452000000241
559,1.46913,40.01160338729652,1.1998323000000262
602,1.69178,23.187807517656115,1.1998194000000282
645,1.8207,52.620245679411795,1.1998065000000302
688,1.56729,29.92781354249183,1.1997936000000322
731,1.3816,40.139910073748446,1.1997807000000342
774,1.76391,32.43369891441387,1.1997678000000362
817,1.58541,62.65159713931874,1.1997549000000383
860,1.81447,35.962690647000414,1.1997420000000403
903,1.5294,62.67279563534124,1.1997291000000423
946,1.72076,28.530944225641253,1.1997162000000443
989,1.48984,30.299345078043938,1.1997033000000463
1032,1.32841,28.90247576119336,1.1996904000000483
1075,1.53686,30.058351649577705,1.1996775000000504
1118,1.53758,33.062959533186806,1.1996646000000524
1161,1.47088,37.70766158274665,1.1996517000000544
1204,1.52634,56.877796248981916,1.1996388000000564
1247,1.24197,34.795657655446334,1.1996259000000584
1290,1.65683,60.865344921844496,1.1996130000000604
1333,1.6529,19.098729205948967,1.1996001000000625
1376,1.47575,63.82867152372558,1.1995872000000645
1419,1.59185,34.984212699014826,1.1995743000000665
1462,1.51683,40.3507793236564,1.1995614000000685
1505,1.76993,24.147318390253155,1.1995485000000705
1548,1.25878,50.74138950562876,1.1995356000000725
1591,1.56032,46.22276272188688,1.1995227000000745
1634,1.58374,36.40004909125395,1.1995098000000766
1677,1.82352,39.760568565977515,1.1994969000000786
1720,1.69615,43.128898012919926,1.1994840000000806
1763,1.5846,37.04716107509846,1.1994711000000826
1806,1.43062,34.18871124301286,1.1994582000000846
1849,1.91524,35.031072532327705,1.1994453000000866
1892,1.47931,39.54635218511865,1.1994324000000887
1935,1.87764,58.06714344687545,1.1994195000000907
1978,1.89857,34.66288812772651,1.1994066000000927
2021,1.60149,45.46854254761294,1.1993937000000947
2064,1.48555,30.837117450825065,1.1993808000000967
2107,1.49961,37.40865121779782,1.1993679000000987
2150,1.68635,42.506331656048815,1.1993550000001008
2193,1.60561,32.42031039061019,1.1993421000001028
2236,1.75529,27.997634694128017,1.1993292000001048
2279,1.36177,42.39141349340056,1.1993163000001068
2322,1.7436,54.67538408327662,1.1993034000001088
2365,1.73534,32.616675406397476,1.1992905000001108
2408,1.87149,44.545850115476014,1.1992776000001129
2451,1.51616,30.168806970958062,1.1992647000001149
2494,1.39274,27.590400428432762,1.1992518000001169
2537,1.60733,40.673219605261686,1.199238900000119
2580,1.76492,39.740485780271996,1.199226000000121
2623,1.49826,22.641109462339198,1.199213100000123
2666,1.53794,12.5283111492932,1.199200200000125
2709,1.74043,43.488156734985324,1.199187300000127
2752,1.51528,39.68135313347242,1.199174400000129
2795,1.69668,23.670910084905557,1.199161500000131
2838,1.59695,27.706434301397987,1.199148600000133
2881,1.42382,46.660121166140414,1.199135700000135
2924,1.48318,25.419228151602717,1.199122800000137
2967,1.5734,31.119392161019313,1.199109900000139
3010,1.59688,46.1725557576231,1.199097000000141
3053,1.68165,49.614522085485724,1.199084100000143
3096,1.90266,41.98194780707137,1.199071200000145
3139,1.62654,34.94739425855471,1.1990583000001471
3182,1.66332,37.45551105111069,1.1990454000001491
3225,1.68032,42.094634549085676,1.1990325000001512
3268,1.54233,45.92821519820593,1.1990196000001532
3311,1.58317,67.50270559751866,1.1990067000001552
3354,1.5114,29.77719264970043,1.1989938000001572
3397,1.42997,49.594439299780205,1.1989809000001592
3440,1.46445,32.39911189458768,1.1989680000001612
3483,1.65427,37.13195505918844,1.1989551000001633
3526,1.43969,43.80948130627364,1.1989422000001653
3569,1.4799,43.677827488870776,1.1989293000001673
3612,1.53648,27.94184917827935,1.1989164000001693
3655,1.49271,54.09744613908444,1.1989035000001713
3698,1.54152,51.110689620546914,1.1988906000001733
3741,1.38305,52.407145008869904,1.1988777000001754
3784,1.59568,32.3232435930335,1.1988648000001774
3827,1.39468,33.112050787133626,1.1988519000001794
3870,1.60683,45.43730265873768,1.1988390000001814
3913,1.51767,54.63187138091465,1.1988261000001834
3956,1.22612,42.635754052817724,1.1988132000001854
3999,1.42838,35.14599069497596,1.1988003000001874
4042,1.66583,54.14207455176337,1.1987874000001895
4085,1.52848,31.07699516897433,1.1987745000001915
4128,1.3106,40.90082450992424,1.1987616000001935
4171,1.64115,34.87041024668355,1.1987487000001955
4214,1.62795,29.489339387921323,1.1987358000001975
4257,2.02845,44.17655000055784,1.1987229000001995
4300,1.76408,72.11951488915417,1.1987100000002016
4343,1.78655,37.915183701703675,1.1986971000002036
4386,1.53463,45.83337982126321,1.1986842000002056
4429,1.50201,29.822936772696337,1.1986713000002076
4472,1.57853,25.405839627799036,1.1986584000002096
4515,1.43342,42.1771971125417,1.1986455000002116
4558,1.23722,15.42246371152194,1.1986326000002137
4601,1.38325,25.346706980999453,1.1986197000002157
4644,1.59086,46.250655479811215,1.1986068000002177
4687,1.73184,30.17438552254293,1.1985939000002197
4730,1.55731,41.17752066853362,1.1985810000002217
4773,1.39993,41.47429961284852,1.1985681000002237
4816,1.41468,23.6731415055395,1.1985552000002258
4859,1.52007,30.422073212911002,1.1985423000002278
4902,1.48268,24.888150040723428,1.1985294000002298
4945,1.49722,46.28189536868647,1.1985165000002318
4988,1.54445,43.79609278246996,1.1985036000002338
5031,1.67726,38.53105579667295,1.1984907000002358
5074,1.3661,46.06767898782759,1.1984778000002378
5117,1.29225,44.77568644077252,1.1984649000002399
5160,1.46737,39.04539825279764,1.1984520000002419
5203,1.60802,58.72318111325575,1.198439100000244
5246,1.3849,42.77298642180544,1.198426200000246
5289,1.39351,28.983922614332414,1.198413300000248
5332,1.71569,24.988563969251025,1.19840040000025
5375,1.32458,56.78853942362404,1.198387500000252
5418,1.52259,40.315076593513254,1.198374600000254
5461,1.4935,39.87437101830881,1.198361700000256
5504,1.44596,37.84266253110043,1.198348800000258
5547,1.50169,27.089446496111748,1.19833590000026
5590,1.41309,35.9046737105178,1.198323000000262
5633,1.35275,42.34790079103861,1.198310100000264
5676,1.42802,43.76708431422865,1.198297200000266
5719,1.52693,31.358154168851602,1.198284300000268
5762,1.50081,32.49506298184739,1.19827140000027
5805,1.48049,47.900791038614734,1.1982585000002721
5848,1.40809,63.062178535964925,1.1982456000002741
5891,1.54009,38.47973312209217,1.1982327000002762
5934,1.5128,39.381227058206605,1.1982198000002782
5977,1.55366,43.670017516651974,1.1982069000002802
6020,1.56663,19.37207823360743,1.1981940000002822
6063,1.42181,39.65792321681599,1.1981811000002842
6106,1.6731,42.99054993361523,1.1981682000002862
6149,1.65339,31.56567628780863,1.1981553000002882
6192,1.19397,29.259503062624816,1.1981424000002903
6235,1.31036,38.962835689341624,1.1981295000002923
6278,1.50207,31.480882303718662,1.1981166000002943
6321,1.92957,50.45353624384963,1.1981037000002963
6364,1.6866,33.85511385823785,1.1980908000002983
6407,1.21691,29.16689910631603,1.1980779000003003
6450,1.64557,19.472492162135026,1.1980650000003024
6493,1.57514,20.450970110120608,1.1980521000003044
6536,1.3834,36.14232000803311,1.1980392000003064
6579,1.74041,31.039061018197238,1.1980263000003084
6622,1.44843,29.378884066540962,1.1980134000003104
6665,1.7938,43.38662709614075,1.1980005000003124
6708,1.45104,49.10352676031195,1.1979876000003145
