pose,start,finish_time,goal_state
"[235, 236]",1515573430.344221,1515573432.012321,3
"[235, 237]",1515573444.020247,1515573446.690437,3
"[235, 238]",1515573458.702842,300.0,1
"[235, 239]",1515573770.714062,1515573795.332404,4
"[235, 240]",1515573807.340307,1515573831.693336,3
"[235, 241]",1515573843.700743,1515573858.734437,3
"[235, 242]",1515573870.742617,1515573893.757042,3
"[235, 243]",1515573905.766573,1515573927.128715,4
"[235, 244]",1515573939.137482,1515573960.49353,4
"[235, 245]",1515573972.505875,1515573988.205019,3
"[235, 246]",1515574000.214582,1515574006.894517,3
"[235, 247]",1515574018.903713,1515574024.918632,3
"[235, 248]",1515574036.928331,1515574042.942736,3
"[235, 249]",1515574054.952178,1515574057.959518,3
"[235, 250]",1515574069.969071,1515574078.653419,3
"[235, 251]",1515574090.662486,1515574094.334848,3
"[235, 252]",1515574106.345612,1515574116.030787,3
"[235, 253]",1515574128.03814,1515574152.690746,4
"[235, 254]",1515574164.700425,1515574179.734413,3
"[235, 255]",1515574191.744421,1515574218.104347,3
"[235, 256]",1515574230.114068,1515574248.453259,3
"[235, 257]",1515574260.464325,1515574292.471658,3
"[235, 258]",1515574304.481527,1515574325.834654,4
"[235, 259]",1515574337.843175,300.0,1
"[235, 260]",1515574649.853365,1515574658.535427,3
"[235, 261]",1515574670.544283,1515574675.555583,3
"[235, 262]",1515574687.561757,1515574691.903015,3
"[235, 263]",1515574703.9138,1515574707.92285,3
"[235, 264]",1515574719.930085,1515574726.608509,3
"[235, 265]",1515574738.619544,1515574742.960479,3
"[235, 266]",1515574754.970243,1515574769.0023,3
"[235, 267]",1515574781.011631,1515574805.629021,4
"[235, 268]",1515574817.638705,1515574830.667306,3
"[235, 269]",1515574842.674028,1515574857.370794,3
"[235, 270]",1515574869.379664,1515574882.714569,3
"[235, 271]",1515574894.725029,1515574915.980138,4
"[235, 272]",1515574927.987072,1515574952.675623,4
"[235, 273]",1515574964.684414,300.0,1
"[235, 274]",1515575276.695181,1515575284.716434,3
"[235, 275]",1515575296.726306,1515575302.069978,3
"[235, 276]",1515575314.079592,1515575319.424057,3
"[235, 277]",1515575331.434055,1515575336.107601,3
"[235, 278]",1515575348.116613,1515575355.132151,3
"[235, 279]",1515575367.142468,1515575372.486874,3
"[235, 280]",1515575384.495154,300.0,1
"[235, 281]",1515575696.506071,1515575721.223728,4
"[235, 282]",1515575733.23545,1515575747.268399,3
"[235, 283]",1515575759.275747,1515575800.635878,4
"[235, 284]",1515575812.646597,1515575826.982549,3
"[235, 285]",1515575838.989715,300.0,1
"[235, 286]",1515576151.002608,1515576175.555725,4
"[235, 287]",1515576187.564534,300.0,1
"[235, 288]",1515576499.578683,1515576507.913985,3
"[235, 289]",1515576519.924359,1515576526.270691,3
"[235, 290]",1515576538.28195,1515576544.296694,3
"[235, 291]",1515576556.308218,1515576561.652305,3
"[235, 292]",1515576573.661078,1515576581.678632,3
"[235, 293]",1515576593.689205,1515576605.717165,3
"[235, 294]",1515576617.727304,300.0,1
"[235, 295]",1515576929.740043,1515576954.356185,4
"[235, 296]",1515576966.367132,1515577004.055493,3
"[235, 297]",1515577016.061474,1515577035.410187,3
"[235, 298]",1515577047.417948,1515577068.773253,3
"[235, 299]",1515577080.783414,300.0,1
"[235, 300]",1515577392.792977,1515577417.347125,4
"[235, 301]",1515577429.35162,1515577439.375519,3
"[235, 302]",1515577451.385141,1515577458.733343,3
"[235, 303]",1515577470.74313,1515577477.760228,3
"[235, 304]",1515577489.770006,1515577496.11714,3
"[235, 305]",1515577508.128343,1515577514.474569,3
"[235, 306]",1515577526.483926,1515577535.168179,3
"[235, 307]",1515577547.175544,1515577561.510995,3
"[235, 308]",1515577573.519087,1515577589.522344,3
"[235, 309]",1515577601.531658,1515577622.786668,4
"[235, 310]",1515577634.796113,1515577646.137316,3
"[235, 311]",1515577658.142998,1515577668.48495,3
"[235, 312]",1515577680.494054,1515577695.528784,3
"[235, 313]",1515577707.538044,300.0,1
"[235, 314]",1515578019.546076,1515578044.233983,4
"[235, 315]",1515578056.245396,1515578077.559068,4
"[235, 316]",1515578089.567235,1515578105.906893,3
"[235, 317]",1515578117.912702,1515578130.249753,3
"[235, 318]",1515578142.260888,1515578155.596656,3
"[235, 319]",1515578167.603775,1515578205.609132,3
"[235, 320]",1515578217.620103,1515578226.304783,3
"[235, 321]",1515578238.319053,1515578246.338485,3
"[235, 322]",1515578258.350633,1515578266.369387,3
"[235, 323]",1515578278.38066,1515578287.401075,3
"[235, 324]",1515578299.407668,1515578306.756834,3
"[235, 325]",1515578318.767044,1515578328.790088,3
"[235, 326]",1515578340.798615,1515578349.820786,3
"[235, 327]",1515578361.830065,1515578385.184838,3
"[235, 328]",1515578397.193113,1515578407.217702,3
"[235, 329]",1515578419.227152,1515578429.252772,3
"[235, 330]",1515578441.261471,1515578455.295303,3
"[235, 331]",1515578467.303085,1515578498.978596,3
"[235, 332]",1515578510.987499,1515578580.010168,3
"[235, 333]",1515578592.019961,300.0,1
"[235, 334]",1515578904.03015,1515578918.365662,3
"[235, 335]",1515578930.375806,1515578942.713191,3
"[235, 336]",1515578954.725554,1515578967.755109,3
"[235, 337]",1515578979.76604,1515578990.454917,3
"[235, 338]",1515579002.465737,1515579012.489765,3
"[235, 339]",1515579024.497464,1515579033.181398,3
"[235, 340]",1515579045.191772,1515579053.527057,3
"[235, 341]",1515579065.536181,1515579073.872764,3
"[235, 342]",1515579085.882764,1515579093.901978,3
"[235, 343]",1515579105.91268,1515579116.251253,3
"[235, 344]",1515579128.25938,1515579139.286716,3
"[235, 345]",1515579151.298056,1515579161.987789,3
"[235, 346]",1515579173.9993,1515579184.023588,3
"[235, 347]",1515579196.032333,1515579206.721059,3
"[235, 348]",1515579218.727858,1515579229.752867,3
"[235, 349]",1515579241.762561,1515579273.131855,3
"[235, 350]",1515579285.142197,300.0,1
"[235, 351]",1515579597.156538,300.0,1
"[235, 352]",1515579909.164642,1515579925.836659,3
"[235, 353]",1515579937.846094,1515579950.875066,3
"[235, 354]",1515579962.882618,1515579974.574755,3
"[235, 355]",1515579986.583117,1515579997.272864,3
"[235, 356]",1515580009.279471,1515580019.302774,3
"[235, 357]",1515580031.312464,1515580040.998963,3
"[235, 358]",1515580053.006099,1515580062.028289,3
"[235, 359]",1515580074.036953,1515580083.375188,3
"[235, 360]",1515580095.381519,1515580104.401483,3
"[235, 361]",1515580116.411529,1515580127.747038,3
"[235, 362]",1515580139.756086,1515580149.092277,3
"[235, 363]",1515580161.102059,1515580172.128766,3
"[235, 364]",1515580184.138087,1515580196.475992,3
"[235, 365]",1515580208.484449,1515580226.156714,3
"[235, 366]",1515580238.166072,1515580257.17401,3
"[235, 367]",1515580269.182371,1515580283.216984,3
"[235, 368]",1515580295.228897,300.0,1
"[235, 369]",1515580607.238722,1515580631.826825,4
"[235, 370]",1515580643.835344,300.0,1
"[235, 371]",1515580955.844318,1515580972.515713,3
"[235, 372]",1515580984.523656,1515580998.219757,3
"[235, 373]",1515581010.226661,1515581021.918574,3
"[235, 374]",1515581033.927249,1515581045.262318,3
"[235, 375]",1515581057.27111,1515581067.960817,3
"[235, 376]",1515581079.966105,1515581090.306844,3
"[235, 377]",1515581102.316967,1515581112.655433,3
"[235, 378]",1515581124.665264,1515581134.687524,3
"[235, 379]",1515581146.695694,1515581157.721889,3
"[235, 380]",1515581169.730067,1515581181.421343,3
"[235, 381]",1515581193.427061,1515581205.119123,3
"[235, 382]",1515581217.126085,1515581270.050126,4
"[235, 383]",1515581282.056186,1515581303.070223,3
"[235, 384]",1515581315.080277,1515581326.415381,3
"[235, 385]",1515581338.424322,1515581351.759368,3
"[235, 386]",1515581363.770526,1515581388.288135,4
"[235, 387]",1515581400.296625,1515581425.051651,4
"[235, 388]",1515581437.061856,1515581461.678187,4
"[235, 389]",1515581473.68718,1515581540.367527,3
"[235, 390]",1515581552.374593,1515581582.044269,3
"[235, 391]",1515581594.052275,1515581616.72067,3
"[235, 392]",1515581628.730624,1515581650.143665,4
"[235, 393]",1515581662.155773,1515581699.171181,3
"[235, 394]",1515581711.18208,1515581762.199049,3
"[235, 395]",1515581774.20726,1515581792.213089,3
"[235, 396]",1515581804.219698,1515581818.917253,3
"[235, 397]",1515581830.923919,1515581843.953791,3
"[235, 398]",1515581855.963433,1515581868.299975,3
"[235, 399]",1515581880.312438,1515581892.005405,3
"[235, 400]",1515581904.015094,1515581916.043012,3
"[235, 401]",1515581928.051896,1515581939.39374,3
"[235, 402]",1515581951.401358,1515581963.42824,3
"[235, 403]",1515581975.43532,1515581986.776473,3
"[235, 404]",1515581998.784384,1515582009.473725,3
"[235, 405]",1515582021.482548,1515582034.511939,3
"[235, 406]",1515582046.521279,1515582059.858604,3
"[235, 407]",1515582071.862051,1515582085.199521,3
"[235, 408]",1515582097.207034,1515582109.899271,3
"[235, 409]",1515582121.906936,1515582134.244843,3
"[235, 410]",1515582146.254058,1515582177.256657,3
"[235, 411]",1515582189.268195,1515582213.923236,4
"[235, 412]",1515582225.929898,1515582250.485337,4
"[235, 413]",1515582262.491526,1515582299.178752,3
"[235, 414]",1515582311.188011,1515582342.52497,3
"[235, 415]",1515582354.536762,1515582377.219173,3
"[235, 416]",1515582389.228316,1515582410.483405,4
"[235, 417]",1515582422.492505,1515582442.168739,3
"[235, 418]",1515582454.177488,1515582470.214302,3
"[235, 419]",1515582482.224297,1515582497.559352,3
"[235, 420]",1515582509.569124,1515582523.905526,3
"[235, 421]",1515582535.911774,1515582549.248899,3
"[235, 422]",1515582561.260466,1515582574.290424,3
"[235, 423]",1515582586.301857,1515582598.993587,3
"[235, 424]",1515582611.001649,1515582623.337234,3
"[235, 425]",1515582635.34878,1515582656.698379,3
"[235, 426]",1515582668.706204,1515582690.019061,4
"[235, 427]",1515582702.028301,1515582723.283343,4
"[235, 428]",1515582735.29186,1515582748.323843,3
"[235, 429]",1515582760.333796,1515582774.669319,3
"[235, 430]",1515582786.678124,1515582798.706844,3
"[235, 431]",1515582810.714061,1515582822.743516,3
"[235, 432]",1515582834.752135,1515582849.787273,3
"[235, 433]",1515582861.794093,1515582883.106491,4
"[235, 434]",1515582895.116096,1515582916.373033,4
"[235, 435]",1515582928.38236,1515582953.069689,4
"[235, 436]",1515582965.079903,1515582989.634501,4
"[235, 437]",1515583001.642037,300.0,1
"[235, 438]",1515583313.65208,1515583344.324514,3
"[235, 439]",1515583356.334401,1515583376.682428,3
"[235, 440]",1515583388.691924,1515583409.04088,3
"[235, 441]",1515583421.050126,1515583438.052962,3
"[235, 442]",1515583450.0593,1515583467.062633,3
