episodes,loss,rewards,epsilon
0,102.07120528406986,-71100.00000000001,0.39920769999997724
1,105.92109636625818,-9300.000000000004,0.3989619999999702
2,141.08008944756162,-5800.000000000001,0.3987924999999653
3,134.80909602496089,-11000.0,0.39842499999995473
4,109.48512018161969,-8500.0,0.3980961999999453
5,101.5816357535526,-11899.999999999998,0.39764709999993236
6,101.32227314210452,-6799.999999999999,0.39746619999992716
7,144.20995955969804,-13299.999999999998,0.3971160999999171
