episodes,explore,cost_function,episode_reward,wander,cells,total_rewards
0,89,nan,-100.0,0,[375],-955.95466827502128
1,91,nan,-100.0,0,[375],-1539.5900952966922
2,85,nan,-100.0,0,[375],-1079.974639430126
3,90,nan,-100.0,0,[375],-84.249878120761522
4,90,nan,-100.0,0,[375],-205.56531018940998
5,89,nan,-100.0,0,[375],-738.58627364073095
6,95,nan,-100.0,0,[375],-706.22455643701426
7,92,nan,-100.0,0,[375],-73.128044827187182
8,88,nan,-100.0,0,[375],-1069.4931512212879
9,96,273.84156036376953,584.19106873077408,0,"[376, 377, 378, 379, 380, 381, 382, 383, 384, 385]",72.424334532189562
10,84,263.81015777587891,610.01074160439998,0,"[376, 377, 378, 379, 405, 381, 382]",-1318.7261993662355
11,92,242.64785614013672,445.11790256923001,0,"[376, 377, 378, 379, 403]",-916.72989991290183
12,94,226.06959228515626,610.01074160439998,0,"[376, 377, 378, 379, 405, 381, 382]",-317.47147785572719
13,90,210.63185577392579,635.62363309070008,0,"[376, 377, 378, 379, 405, 406, 382, 383, 407]",-1146.2234485272957
14,89,207.10697784423829,635.62363309070008,0,"[376, 377, 378, 379, 405, 406, 382, 383, 407]",389.40309922426684
15,95,192.91861419677736,677.62474912300013,0,"[376, 377, 378, 379, 405, 406, 382, 381]",-747.3526513534996
16,85,213.3050506591797,834.25192423094165,0,"[376, 400, 401, 402, 378, 379, 405, 406, 382, 381]",-1190.496248371438
17,89,234.94160919189454,392.84182543418194,0,"[399, 422, 446, 467, 468, 490, 491, 507, 508]",-879.19572626968284
18,88,256.41222229003904,420.87396031348197,0,"[399, 422, 446, 467, 468, 490, 491, 507, 519, 508]",-1112.0373648742125
19,89,265.56020660400389,420.87396031348197,0,"[399, 422, 446, 467, 468, 490, 491, 507, 519, 508]",-1674.6779330733216
20,93,280.12192840576171,550.90945013878297,0,"[399, 422, 397, 420, 395, 394, 417, 442, 441, 463, 485, 464]",-923.10397000948751
21,87,291.42488098144531,471.678492285,0,"[401, 402, 378, 379]",-1084.6847027409906
22,92,333.42715759277343,471.678492285,0,"[401, 402, 378, 379]",-2116.0951799646582
23,89,405.68402099609375,471.678492285,0,"[401, 402, 378, 379]",-592.03758795192005
24,88,454.48439025878906,471.678492285,0,"[401, 402, 378, 379]",293.49191303020336
25,85,428.31224670410154,471.678492285,0,"[401, 402, 378, 379]",-1170.3531403339562
26,87,497.29266967773435,568.21580976849998,0,"[401, 402, 378, 379, 404]",182.93409015149911
27,88,497.94751892089846,568.21580976849998,0,"[401, 402, 378, 379, 404]",-842.65879078821968
28,85,474.30113220214844,568.21580976849998,0,"[401, 402, 378, 379, 404]",-1145.1752472048029
29,92,524.80807495117188,635.62126155623525,0,"[400, 401, 402, 378, 379, 404]",-236.13601372607158
30,87,587.35798034667971,635.62126155623525,0,"[400, 401, 402, 378, 379, 404]",424.64690025485049
31,87,598.39537658691404,635.62126155623525,0,"[400, 401, 402, 378, 379, 404]",-1016.6947364447504
32,91,585.66838989257815,635.62126155623525,0,"[400, 401, 402, 378, 379, 404]",-1249.074409438675
33,91,760.87335815429685,471.678492285,0,"[401, 402, 378, 379]",594.89887730279531
34,92,780.16950683593745,568.21580976849998,0,"[401, 402, 378, 379, 404]",-1137.8015120599839
35,90,743.63937988281248,471.678492285,0,"[401, 402, 378, 379]",-581.54863832599472
36,87,769.73660278320312,471.678492285,0,"[401, 402, 378, 379]",-1831.5462970526862
37,87,772.44954833984377,471.678492285,0,"[401, 402, 378, 379]",377.75994238654954
38,92,779.51190185546875,471.678492285,0,"[401, 402, 378, 379]",-1772.715179870914
39,85,745.30584716796875,435.90697601946374,0,"[399, 422, 446, 467, 444, 419, 395, 418, 394]",-1167.1034856537717
40,81,802.29474487304685,530.8007049389638,0,"[399, 422, 446, 467, 444, 420, 419, 395, 418, 394]",-548.72369381580631
41,89,817.99991455078123,375.17286444182605,0,"[399, 422, 397, 420, 419, 395, 418]",-1096.0063486992533
42,91,861.66909790039062,375.17286444182605,0,"[399, 422, 397, 420, 419, 395, 418]",-1022.5497674353433
43,84,1097.799383544922,450.38305858662602,0,"[399, 422, 397, 420, 419, 395, 418, 394]",-37.055863921047802
44,93,862.5217407226562,471.678492285,0,"[401, 402, 378, 379]",-1510.9905582955503
45,86,843.10262451171877,471.678492285,0,"[401, 402, 378, 379]",-897.7092796868402
46,88,920.34039916992185,471.678492285,0,"[401, 402, 378, 379]",289.72743229883696
47,90,1028.7835510253906,471.678492285,0,"[401, 402, 378, 379]",185.60533242360765
48,89,1177.3826049804688,471.678492285,0,"[401, 402, 378, 379]",854.16207001771204
49,89,1013.5744567871094,471.678492285,0,"[401, 402, 378, 379]",-1612.993755077051
50,89,1206.6699401855469,471.678492285,0,"[401, 402, 378, 379]",269.58877972663072
51,93,1158.4112609863282,450.27904320459999,0,"[376, 402, 378, 379]",-1785.9486026386194
52,89,1095.9511352539062,450.27904320459999,0,"[376, 402, 378, 379]",-902.34963664201791
53,88,1030.5991821289062,450.27904320459999,0,"[376, 402, 378, 379]",-101.59381365759657
54,89,999.97116699218748,546.81636068809996,0,"[376, 402, 378, 379, 404]",-444.69781697144811
55,90,1142.5414001464844,546.81636068809996,0,"[376, 402, 378, 379, 404]",-720.82877567013577
56,83,1162.773992919922,546.81636068809996,0,"[376, 402, 378, 379, 404]",-794.35276002791238
57,91,1109.0121337890625,546.81636068809996,0,"[376, 402, 378, 379, 404]",-1528.3112395326748
58,88,1410.0968017578125,546.81636068809996,0,"[376, 402, 378, 379, 404]",-381.33885093162587
59,86,1327.9557556152345,546.81636068809996,0,"[376, 402, 378, 379, 404]",-919.30569700518106
60,88,1256.3966064453125,457.59548977882997,0,"[376, 402, 378, 379, 380]",-1076.5779376419541
61,85,1243.6665222167969,450.27904320459999,0,"[376, 402, 378, 379]",-200.37173367793926
62,91,1317.9354614257813,471.678492285,0,"[401, 402, 378, 379]",-2031.8046405913378
63,89,1291.1301025390626,471.678492285,0,"[401, 402, 378, 379]",-259.89599542234089
64,83,1289.9646972656251,471.678492285,0,"[401, 402, 378, 379]",-949.84431318491283
65,88,1376.5802978515626,471.678492285,0,"[401, 402, 378, 379]",-1009.9393674139907
66,89,1350.3844360351563,440.4792713132,0,"[376, 377, 378, 379]",-827.20257638031228
67,83,1703.2828002929687,471.678492285,0,"[401, 402, 378, 379]",-42.758302174638544
68,92,1598.539599609375,440.4792713132,0,"[376, 377, 378, 379]",-31.63020743407494
69,88,1502.032275390625,440.4792713132,0,"[376, 377, 378, 379]",-931.09069810457345
70,84,1369.9791381835937,440.4792713132,0,"[376, 377, 378, 379]",-372.68585492635003
71,92,1423.350537109375,440.4792713132,0,"[376, 377, 378, 379]",-734.07666641902915
72,87,1607.4931518554688,440.4792713132,0,"[376, 377, 378, 379]",-703.13342290431865
73,91,1401.6296752929688,440.4792713132,0,"[376, 377, 378, 379]",-519.65799434078701
74,82,1283.73359375,440.4792713132,0,"[376, 377, 378, 379]",-533.87566599398997
75,92,1411.0945983886718,440.4792713132,0,"[376, 377, 378, 379]",-493.69386582387284
76,86,1237.378173828125,440.4792713132,0,"[376, 377, 378, 379]",-720.35335875484418
77,92,1154.91533203125,440.4792713132,0,"[376, 377, 378, 379]",-2197.0269598635932
78,87,1166.1776184082032,440.4792713132,0,"[376, 377, 378, 379]",-889.20810163656233
79,90,1120.9769653320313,537.01658879670003,0,"[376, 377, 378, 379, 404]",-1500.1371665788438
80,88,1108.2580383300781,537.01658879670003,0,"[376, 377, 378, 379, 404]",-1413.0537145512981
81,81,1115.802197265625,440.4792713132,0,"[376, 377, 378, 379]",-926.44971816093505
82,92,1175.471484375,440.4792713132,0,"[376, 377, 378, 379]",-1337.356442545961
83,90,1393.5030273437501,440.4792713132,0,"[376, 377, 378, 379]",-881.06564120711823
