,actions,next_state,rewards
464.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[711.0, 1469.0, 1576.0, 839.0, 652.0, 989.0, 84.0, 75.0]","[0.0079327003536801711, 0.016389784556337793, 0.017583594595499224, 0.0093608095594059967, 0.0072744312666659225, 0.011034375034865948, 0.00093719666625757293, 0.00083678273772997574]"
711.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[9717.0, 5491.0, 1469.0, 1576.0, 464.0, 84.0, 75.0, 5004.0]","[0.10841357150029567, 0.061263653505003964, 0.016389784556337793, 0.017583594595499224, 0.0051768958707561165, 0.00093719666625757293, 0.00083678273772997574, 0.055830144261343986]"
9717.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.0, 9717.0, 5491.0, 1469.0, 711.0, 75.0, 5004.0, 6345.0]","[0.0, 0.0, 0.061263653505003964, 0.016389784556337793, 0.0079327003536801711, 0.00083678273772997574, 0.055830144261343986, 0.07079181961195595]"
4144.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[2492.0, 4144.0, 4144.0, 4144.0, 4144.0, 4144.0, 4583.0, 1603.0]","[0.027803501098974663, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051133003826886389, 0.017884836381082014]"
2492.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1473.0, 443.0, 2492.0, 2492.0, 4144.0, 4583.0, 1603.0, 872.0]","[0.016434412969016723, 0.0049425967041917237, 0.0, 0.0, 0.046235035535373593, 0.051133003826886389, 0.017884836381082014, 0.0097289939640071849]"
1473.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[3724.0, 545.0, 443.0, 1473.0, 2492.0, 1603.0, 872.0, 218.0]","[0.04154905220408573, 0.0060806212275044905, 0.0049425967041917237, 0.0, 0.027803501098974663, 0.017884836381082014, 0.0097289939640071849, 0.0024322484910017962]"
3724.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[7058.0, 0.0, 545.0, 443.0, 1473.0, 872.0, 218.0, 2943.0]","[0.078746834171975588, 0.0, 0.0060806212275044905, 0.0049425967041917237, 0.016434412969016723, 0.0097289939640071849, 0.0024322484910017962, 0.032835354628524251]"
7058.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[839.0, 1285.0, 0.0, 545.0, 3724.0, 218.0, 2943.0, 652.0]","[0.0093608095594059967, 0.014336877573106919, 0.0, 0.0060806212275044905, 0.04154905220408573, 0.0024322484910017962, 0.032835354628524251, 0.0072744312666659225]"
839.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1576.0, 124.0, 1285.0, 0.0, 7058.0, 2943.0, 652.0, 464.0]","[0.017583594595499224, 0.0013834807930468932, 0.014336877573106919, 0.0, 0.078746834171975588, 0.032835354628524251, 0.0072744312666659225, 0.0051768958707561165]"
1576.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1469.0, 31.0, 124.0, 1285.0, 839.0, 652.0, 464.0, 711.0]","[0.016389784556337793, 0.0003458701982617233, 0.0013834807930468932, 0.014336877573106919, 0.0093608095594059967, 0.0072744312666659225, 0.0051768958707561165, 0.0079327003536801711]"
1469.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[5491.0, 410.0, 31.0, 124.0, 1576.0, 464.0, 711.0, 9717.0]","[0.061263653505003964, 0.0045744122995905346, 0.0003458701982617233, 0.0013834807930468932, 0.017583594595499224, 0.0051768958707561165, 0.0079327003536801711, 0.10841357150029567]"
