,actions,next_state,start,positions,rewards,possibility
7.69792257569,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2031.047434591293, 6625.7171906003769, 419.7016410638368, 7.6979225756947987, 7.6979225756947987, 7.6979225756947987, 260.00065426099616, 951.11867359955966, 7.6979225756947987]",151,"[152.0, 172.0, 171.0, 151.0, 151.0, 151.0, 136.0, 137.0, 151.0]","[11.907982107887339, 38.84642003620543, 2.4607005958208101, -100.0, -100.0, -100.0, 1.524377563147346, 5.5763858365918475, 0.045132734340949422]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
2031.04743459,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[474.96445462930023, 55.719941397854782, 6625.7171906003769, 419.7016410638368, 7.6979225756947987, 260.00065426099616, 951.11867359955966, 10.248875886503839, 2031.047434591293]",152,"[153.0, 173.0, 172.0, 171.0, 151.0, 136.0, 137.0, 138.0, 152.0]","[2.7847051384825496, 0.32668467211436841, 38.84642003620543, 2.4607005958208101, 0.045132734340949422, 1.524377563147346, 5.5763858365918475, 0.060088912057834072, 11.907982107887339]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
474.964454629,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[9.5300407368770106, 156.18769218418097, 55.719941397854782, 6625.7171906003769, 2031.047434591293, 951.11867359955966, 10.248875886503839, 2553.4844476898847, 474.96445462930023]",153,"[154.0, 174.0, 173.0, 172.0, 152.0, 137.0, 138.0, 139.0, 153.0]","[0.05587439891821392, 0.91572467108613109, 0.32668467211436841, 38.84642003620543, 11.907982107887339, 5.5763858365918475, 0.060088912057834072, 14.971017711350738, 2.7847051384825496]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9.53004073688,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[268.57105799056978, 15.33553335107414, 156.18769218418097, 55.719941397854782, 474.96445462930023, 10.248875886503839, 2553.4844476898847, 303.46993122218583, 9.5300407368770106]",154,"[155.0, 175.0, 174.0, 173.0, 153.0, 138.0, 139.0, 140.0, 154.0]","[1.5746256334439763, 0.089911862051733918, 0.91572467108613109, 0.32668467211436841, 2.7847051384825496, 0.060088912057834072, 14.971017711350738, 1.7792368852295055, 0.05587439891821392]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
268.571057991,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1826.926700988291, 21.045774234425885, 15.33553335107414, 156.18769218418097, 9.5300407368770106, 2553.4844476898847, 303.46993122218583, 79.967621876020445, 268.57105799056978]",155,"[156.0, 176.0, 175.0, 174.0, 154.0, 139.0, 140.0, 141.0, 155.0]","[10.711227171396892, 0.123390866585354, 0.089911862051733918, 0.91572467108613109, 0.05587439891821392, 14.971017711350738, 1.7792368852295055, 0.46884823775746681, 1.5746256334439763]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1826.92670099,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[134.43147894198646, 95.961505515929204, 21.045774234425885, 15.33553335107414, 268.57105799056978, 303.46993122218583, 79.967621876020445, 118.36397012880869, 1826.926700988291]",156,"[157.0, 177.0, 176.0, 175.0, 155.0, 140.0, 141.0, 142.0, 156.0]","[0.78816851773830587, 0.56261999166925603, 0.123390866585354, 0.089911862051733918, 1.5746256334439763, 1.7792368852295055, 0.46884823775746681, 0.69396510121192401, 10.711227171396892]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
134.431478942,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[487.15712431742912, 3389.5770873411511, 95.961505515929204, 21.045774234425885, 1826.926700988291, 79.967621876020445, 118.36397012880869, 6.7017331009915558e-18, 134.43147894198646]",157,"[158.0, 178.0, 177.0, 176.0, 156.0, 141.0, 142.0, 143.0, 157.0]","[2.8561904667032745, 19.873008686025859, 0.56261999166925603, 0.123390866585354, 10.711227171396892, 0.46884823775746681, 0.69396510121192401, 3.9292099484866404e-20, 0.78816851773830587]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
487.157124317,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2266.7706737482008, 524.70677090442973, 3389.5770873411511, 95.961505515929204, 134.43147894198646, 118.36397012880869, 6.7017331009915558e-18, 172.33410598982888, 487.15712431742912]",158,"[159.0, 179.0, 178.0, 177.0, 157.0, 142.0, 143.0, 144.0, 158.0]","[13.290021771997178, 3.0763431387187725, 19.873008686025859, 0.56261999166925603, 0.78816851773830587, 0.69396510121192401, 3.9292099484866404e-20, 1.0103907056797008, 2.8561904667032745]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2266.77067375,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1927.001617792158, 380.81814921064728, 524.70677090442973, 3389.5770873411511, 487.15712431742912, 6.7017331009915558e-18, 172.33410598982888, 98.203857710181765, 2266.7706737482008]",159,"[160.0, 180.0, 179.0, 178.0, 158.0, 143.0, 144.0, 145.0, 159.0]","[11.297963994207022, 2.2327276211900435, 3.0763431387187725, 19.873008686025859, 2.8561904667032745, 3.9292099484866404e-20, 1.0103907056797008, 0.5757668484850913, 13.290021771997178]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1927.00161779,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1268.7194759446872, 301.65227617190226, 380.81814921064728, 524.70677090442973, 2266.7706737482008, 172.33410598982888, 98.203857710181765, 188.7078725884781, 1927.001617792158]",160,"[161.0, 181.0, 180.0, 179.0, 159.0, 144.0, 145.0, 146.0, 160.0]","[7.4384716782932694, 1.7685800175225022, 2.2327276211900435, 3.0763431387187725, 13.290021771997178, 1.0103907056797008, 0.5757668484850913, 1.1063897042135156, 11.297963994207022]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
