,actions,next_state,start,positions,rewards,possibility
258.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 2943.0, 218.0, 872.0, 491.0, 185.0, 0.0, 1747.0, 258.0]",12,"[13.0, 23.0, 22.0, 21.0, 11.0, 1.0, 2.0, 3.0, 12.0]","[0.0, 4.3850369368214963, 0.32481755087566638, 1.2992702035026655, 0.7315844838529918, 0.275647921614671, 0.0, 2.6030103733017853, 0.3844171014950547]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[989.0, 652.0, 2943.0, 218.0, 258.0, 0.0, 1747.0, 0.0, 0.0]",13,"[14.0, 24.0, 23.0, 22.0, 12.0, 2.0, 3.0, 4.0, 13.0]","[1.4735988890643765, 0.97147267509602975, 4.3850369368214963, 0.32481755087566638, 0.3844171014950547, 0.0, 2.6030103733017853, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
989.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[84.0, 464.0, 652.0, 2943.0, 0.0, 1747.0, 0.0, 790.0, 989.0]",14,"[15.0, 25.0, 24.0, 23.0, 13.0, 3.0, 4.0, 5.0, 14.0]","[0.1251590563007155, 0.69135478718490462, 0.97147267509602975, 4.3850369368214963, 0.0, 2.6030103733017853, 0.0, 1.1770911247329194, 1.4735988890643765]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
84.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[75.0, 711.0, 464.0, 652.0, 989.0, 0.0, 790.0, 439.0, 84.0]",15,"[16.0, 26.0, 25.0, 24.0, 14.0, 4.0, 5.0, 6.0, 15.0]","[0.11174915741135312, 1.0593820122596276, 0.69135478718490462, 0.97147267509602975, 1.4735988890643765, 0.0, 1.1770911247329194, 0.6541050680477869, 0.1251590563007155]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
75.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5004.0, 9717.0, 711.0, 464.0, 84.0, 790.0, 439.0, 4121.0, 75.0]",16,"[17.0, 27.0, 26.0, 25.0, 15.0, 5.0, 6.0, 7.0, 16.0]","[7.4559037824854801, 14.478220834214911, 1.0593820122596276, 0.69135478718490462, 0.1251590563007155, 1.1770911247329194, 0.6541050680477869, 6.1402437025624828, 0.11174915741135312]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5004.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6345.0, 0.0, 9717.0, 711.0, 75.0, 439.0, 4121.0, 3792.0, 5004.0]",17,"[18.0, 28.0, 27.0, 26.0, 16.0, 6.0, 7.0, 8.0, 17.0]","[9.4539787170004743, 0.0, 14.478220834214911, 1.0593820122596276, 0.11174915741135312, 0.6541050680477869, 6.1402437025624828, 5.6500373987180135, 7.4559037824854801]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6345.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6345.0, 6345.0, 0.0, 9717.0, 5004.0, 4121.0, 3792.0, 6345.0, 6345.0]",18,"[18.0, 18.0, 28.0, 27.0, 17.0, 7.0, 8.0, 18.0, 18.0]","[-100.0, -100.0, 0.0, 14.478220834214911, 7.4559037824854801, 6.1402437025624828, 5.6500373987180135, -100.0, 9.4539787170004743]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
4583.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1603.0, 2492.0, 4144.0, 4583.0, 4583.0, 4583.0, 0.0, 2397.0, 4583.0]",19,"[20.0, 30.0, 29.0, 19.0, 19.0, 19.0, 9.0, 10.0, 19.0]","[2.3884519910719875, 3.7130520035878929, 6.1745134441686309, -100.0, -100.0, -100.0, 0.0, 3.5715030708668456, 6.8286185122164182]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
1603.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[872.0, 1473.0, 2492.0, 4144.0, 4583.0, 0.0, 2397.0, 491.0, 1603.0]",20,"[21.0, 31.0, 30.0, 29.0, 19.0, 9.0, 10.0, 11.0, 20.0]","[1.2992702035026655, 2.1947534515589751, 3.7130520035878929, 6.1745134441686309, 6.8286185122164182, 0.0, 3.5715030708668456, 0.7315844838529918, 2.3884519910719875]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
872.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[218.0, 3724.0, 1473.0, 2492.0, 1603.0, 2397.0, 491.0, 258.0, 872.0]",21,"[22.0, 32.0, 31.0, 30.0, 20.0, 10.0, 11.0, 12.0, 21.0]","[0.32481755087566638, 5.5487181626650539, 2.1947534515589751, 3.7130520035878929, 2.3884519910719875, 3.5715030708668456, 0.7315844838529918, 0.3844171014950547, 1.2992702035026655]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
