,actions,next_state,start,positions,rewards
5004.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[6345.0, 0.0, 9717.0, 711.0, 75.0, 439.0, 4121.0, 3792.0]",17,"[18.0, 28.0, 27.0, 26.0, 16.0, 6.0, 7.0, 8.0]","[7.0791819611955953, 0.0, 10.841357150029566, 0.7932700353680171, 0.08367827377299758, 0.48979682915127914, 4.5978422162469732, 4.2307735219627576]"
6345.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[6345.0, 6345.0, 0.0, 9717.0, 5004.0, 4121.0, 3792.0, 6345.0]",18,"[18.0, 18.0, 28.0, 27.0, 17.0, 7.0, 8.0, 18.0]","[-10.0, -10.0, 0.0, 10.841357150029566, 5.5830144261343984, 4.5978422162469732, 4.2307735219627576, -10.0]"
4583.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1603.0, 2492.0, 4144.0, 4583.0, 4583.0, 4583.0, 0.0, 2397.0]",19,"[20.0, 30.0, 29.0, 19.0, 19.0, 19.0, 9.0, 10.0]","[1.7884836381082017, 2.7803501098974661, 4.6235035535373594, -10.0, -10.0, -10.0, 0.0, 2.6743576297850025]"
1603.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[872.0, 1473.0, 2492.0, 4144.0, 4583.0, 0.0, 2397.0, 491.0]",20,"[21.0, 31.0, 30.0, 29.0, 19.0, 9.0, 10.0, 11.0]","[0.97289939640071854, 1.6434412969016725, 2.7803501098974661, 4.6235035535373594, 5.1133003826886387, 0.0, 2.6743576297850025, 0.54781376563389084]"
872.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[218.0, 3724.0, 1473.0, 2492.0, 1603.0, 2397.0, 491.0, 258.0]",21,"[22.0, 32.0, 31.0, 30.0, 20.0, 10.0, 11.0, 12.0]","[0.24322484910017964, 4.1549052204085735, 1.6434412969016725, 2.7803501098974661, 1.7884836381082017, 2.6743576297850025, 0.54781376563389084, 0.28785326177911169]"
218.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[2943.0, 7058.0, 3724.0, 1473.0, 872.0, 491.0, 258.0, 0.0]",22,"[23.0, 33.0, 32.0, 31.0, 21.0, 11.0, 12.0, 13.0]","[3.2835354628524249, 7.8746834171975593, 4.1549052204085735, 1.6434412969016725, 0.97289939640071854, 0.54781376563389084, 0.28785326177911169, 0.0]"
2943.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[652.0, 839.0, 7058.0, 3724.0, 218.0, 258.0, 0.0, 989.0]",23,"[24.0, 34.0, 33.0, 32.0, 22.0, 12.0, 13.0, 14.0]","[0.72744312666659228, 0.93608095594059959, 7.8746834171975593, 4.1549052204085735, 0.24322484910017964, 0.28785326177911169, 0.0, 1.1034375034865946]"
652.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[464.0, 1576.0, 839.0, 7058.0, 2943.0, 0.0, 989.0, 84.0]",24,"[25.0, 35.0, 34.0, 33.0, 23.0, 13.0, 14.0, 15.0]","[0.51768958707561163, 1.7583594595499226, 0.93608095594059959, 7.8746834171975593, 3.2835354628524249, 0.0, 1.1034375034865946, 0.093719666625757286]"
464.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[711.0, 1469.0, 1576.0, 839.0, 652.0, 989.0, 84.0, 75.0]",25,"[26.0, 36.0, 35.0, 34.0, 24.0, 14.0, 15.0, 16.0]","[0.7932700353680171, 1.6389784556337792, 1.7583594595499226, 0.93608095594059959, 0.72744312666659228, 1.1034375034865946, 0.093719666625757286, 0.08367827377299758]"
711.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[9717.0, 5491.0, 1469.0, 1576.0, 464.0, 84.0, 75.0, 5004.0]",26,"[27.0, 37.0, 36.0, 35.0, 25.0, 15.0, 16.0, 17.0]","[10.841357150029566, 6.1263653505003957, 1.6389784556337792, 1.7583594595499226, 0.51768958707561163, 0.093719666625757286, 0.08367827377299758, 5.5830144261343984]"
9717.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.0, 9717.0, 5491.0, 1469.0, 711.0, 75.0, 5004.0, 6345.0]",27,"[28.0, 27.0, 37.0, 36.0, 26.0, 16.0, 17.0, 18.0]","[0.0, -10.0, 6.1263653505003957, 1.6389784556337792, 0.7932700353680171, 0.08367827377299758, 5.5830144261343984, 7.0791819611955953]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.0, 0.0, 0.0, 5491.0, 9717.0, 5004.0, 6345.0, 0.0]",28,"[28.0, 28.0, 28.0, 37.0, 27.0, 17.0, 18.0, 28.0]","[-10.0, -10.0, -10.0, 6.1263653505003957, 10.841357150029566, 5.5830144261343984, 7.0791819611955953, -10.0]"
4144.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[2492.0, 4144.0, 4144.0, 4144.0, 4144.0, 4144.0, 4583.0, 1603.0]",29,"[30.0, 29.0, 29.0, 29.0, 29.0, 29.0, 19.0, 20.0]","[2.7803501098974661, -10.0, -10.0, -10.0, -10.0, -10.0, 5.1133003826886387, 1.7884836381082017]"
2492.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1473.0, 443.0, 2492.0, 2492.0, 4144.0, 4583.0, 1603.0, 872.0]",30,"[31.0, 38.0, 30.0, 30.0, 29.0, 19.0, 20.0, 21.0]","[1.6434412969016725, 0.49425967041917235, -10.0, -10.0, 4.6235035535373594, 5.1133003826886387, 1.7884836381082017, 0.97289939640071854]"
1473.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[3724.0, 545.0, 443.0, 1473.0, 2492.0, 1603.0, 872.0, 218.0]",31,"[32.0, 39.0, 38.0, 31.0, 30.0, 20.0, 21.0, 22.0]","[4.1549052204085735, 0.60806212275044902, 0.49425967041917235, -10.0, 2.7803501098974661, 1.7884836381082017, 0.97289939640071854, 0.24322484910017964]"
3724.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[7058.0, 0.0, 545.0, 443.0, 1473.0, 872.0, 218.0, 2943.0]",32,"[33.0, 40.0, 39.0, 38.0, 31.0, 21.0, 22.0, 23.0]","[7.8746834171975593, 0.0, 0.60806212275044902, 0.49425967041917235, 1.6434412969016725, 0.97289939640071854, 0.24322484910017964, 3.2835354628524249]"
7058.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[839.0, 1285.0, 0.0, 545.0, 3724.0, 218.0, 2943.0, 652.0]",33,"[34.0, 41.0, 40.0, 39.0, 32.0, 22.0, 23.0, 24.0]","[0.93608095594059959, 1.4336877573106919, 0.0, 0.60806212275044902, 4.1549052204085735, 0.24322484910017964, 3.2835354628524249, 0.72744312666659228]"
839.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1576.0, 124.0, 1285.0, 0.0, 7058.0, 2943.0, 652.0, 464.0]",34,"[35.0, 42.0, 41.0, 40.0, 33.0, 23.0, 24.0, 25.0]","[1.7583594595499226, 0.13834807930468934, 1.4336877573106919, 0.0, 7.8746834171975593, 3.2835354628524249, 0.72744312666659228, 0.51768958707561163]"
1576.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1469.0, 31.0, 124.0, 1285.0, 839.0, 652.0, 464.0, 711.0]",35,"[36.0, 43.0, 42.0, 41.0, 34.0, 24.0, 25.0, 26.0]","[1.6389784556337792, 0.034587019826172336, 0.13834807930468934, 1.4336877573106919, 0.93608095594059959, 0.72744312666659228, 0.51768958707561163, 0.7932700353680171]"
1469.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[5491.0, 410.0, 31.0, 124.0, 1576.0, 464.0, 711.0, 9717.0]",36,"[37.0, 44.0, 43.0, 42.0, 35.0, 25.0, 26.0, 27.0]","[6.1263653505003957, 0.45744122995905345, 0.034587019826172336, 0.13834807930468934, 1.7583594595499226, 0.51768958707561163, 0.7932700353680171, 10.841357150029566]"
5491.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[5491.0, 5491.0, 410.0, 31.0, 1469.0, 711.0, 9717.0, 0.0]",37,"[37.0, 37.0, 44.0, 43.0, 36.0, 26.0, 27.0, 28.0]","[-10.0, -10.0, 0.45744122995905345, 0.034587019826172336, 1.6389784556337792, 0.7932700353680171, 10.841357150029566, 0.0]"
443.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[545.0, 4946.0, 1519.0, 1468.0, 443.0, 2492.0, 1473.0, 3724.0]",38,"[39.0, 47.0, 46.0, 45.0, 38.0, 30.0, 31.0, 32.0]","[0.60806212275044902, 5.5183032277499473, 1.6947639714824443, 1.637862745316806, -10.0, 2.7803501098974661, 1.6434412969016725, 4.1549052204085735]"
