,actions,next_state,start,positions,rewards,possibility
7067.66820642,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[7067.6682064192582, 7067.6682064192582, 7067.6682064192582, 7067.6682064192582, 7067.6682064192582, 70.838595176607768, 4487.6046339132808, 476.01336007727679, 7067.6682064192582]",311,"[311.0, 311.0, 311.0, 311.0, 311.0, 296.0, 297.0, 298.0, 311.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 0.16905275048845897, 10.709443130209221, 1.1359819825575819, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]"
4375.27471283,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4375.2747128330893, 4375.2747128330893, 4375.2747128330893, 4375.2747128330893, 4375.2747128330893, 4487.6046339132808, 476.01336007727679, 23.54091436801005, 4375.2747128330893]",312,"[312.0, 312.0, 312.0, 312.0, 312.0, 297.0, 298.0, 299.0, 312.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 10.709443130209221, 1.1359819825575819, 0.056179210118491162, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]"
9.61321786903e-46,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[9.6132178690296134e-46, 9.6132178690296134e-46, 9.6132178690296134e-46, 9.6132178690296134e-46, 9.6132178690296134e-46, 476.01336007727679, 23.54091436801005, 9.6132178690296134e-46, 9.6132178690296134e-46]",313,"[313.0, 313.0, 313.0, 313.0, 313.0, 298.0, 299.0, 313.0, 313.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, 1.1359819825575819, 0.056179210118491162, -100.0, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0]"
4603.14846923,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4603.1484692295462, 4603.1484692295462, 4603.1484692295462, 4603.1484692295462, 4603.1484692295462, 4603.1484692295462, 4603.1484692295462, 4603.1484692295462, 4603.1484692295462]",314,"[314.0, 314.0, 314.0, 314.0, 314.0, 314.0, 314.0, 314.0, 314.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
6838.10349278,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6838.1034927764695, 6838.1034927764695, 6838.1034927764695, 6838.1034927764695, 6838.1034927764695, 6838.1034927764695, 6838.1034927764695, 6838.1034927764695, 6838.1034927764695]",315,"[315.0, 315.0, 315.0, 315.0, 315.0, 315.0, 315.0, 315.0, 315.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
1059.27563026,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1059.2756302568403, 1059.2756302568403, 1059.2756302568403, 1059.2756302568403, 1059.2756302568403, 1059.2756302568403, 1059.2756302568403, 1059.2756302568403, 1059.2756302568403]",316,"[316.0, 316.0, 316.0, 316.0, 316.0, 316.0, 316.0, 316.0, 316.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
4113.48890349,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4113.4889034938105, 4113.4889034938105, 4113.4889034938105, 4113.4889034938105, 4113.4889034938105, 4113.4889034938105, 4113.4889034938105, 4113.4889034938105, 4113.4889034938105]",317,"[317.0, 317.0, 317.0, 317.0, 317.0, 317.0, 317.0, 317.0, 317.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
2191.93729241,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2191.9372924098257, 2191.9372924098257, 2191.9372924098257, 2191.9372924098257, 2191.9372924098257, 2191.9372924098257, 2191.9372924098257, 2191.9372924098257, 2191.9372924098257]",318,"[318.0, 318.0, 318.0, 318.0, 318.0, 318.0, 318.0, 318.0, 318.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
1097.53735298,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1097.5373529775677, 1097.5373529775677, 1097.5373529775677, 1097.5373529775677, 1097.5373529775677, 1097.5373529775677, 1097.5373529775677, 1097.5373529775677, 1097.5373529775677]",319,"[319.0, 319.0, 319.0, 319.0, 319.0, 319.0, 319.0, 319.0, 319.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
3222.66506406,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3222.6650640600292, 3222.6650640600292, 3222.6650640600292, 3222.6650640600292, 3222.6650640600292, 3222.6650640600292, 3222.6650640600292, 3222.6650640600292, 3222.6650640600292]",320,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]","[-100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
