,actions,next_state,start,positions,rewards,possibility
7382.55404491,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[7382.5540449131713, 7382.5540449131713, 3285.0191706740852, 1502.3027302127027, 252.70399761093989, 3339.4142277295227, 5576.3904994392333, 7382.5540449131713, 7382.5540449131713]",75,"[75.0, 75.0, 90.0, 89.0, 74.0, 59.0, 60.0, 75.0, 75.0]","[-100.0, -100.0, 51.709911932105442, 23.647941713143698, 3.9778463328332054, 52.566151565343674, 87.778684580967578, -100.0, 116.20973871459435]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
1332.06463573,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1115.5358498551316, 1857.9388464344015, 4825.2543907714835, 1332.0646357326304, 1332.0646357326304, 1332.0646357326304, 159.48140253944416, 202.82886386601598, 1332.0646357326304]",76,"[77.0, 92.0, 91.0, 76.0, 76.0, 76.0, 61.0, 62.0, 76.0]","[17.559794191788065, 29.246055847109762, 75.95495387797034, -100.0, -100.0, -100.0, 2.5104173983956022, 3.1927553974208625, 20.968201834716261]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
1115.53584986,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[936.48231658950749, 0.00067815258311571002, 1857.9388464344015, 4825.2543907714835, 1332.0646357326304, 159.48140253944416, 202.82886386601598, 1058.8955229016181, 1115.5358498551316]",77,"[78.0, 93.0, 92.0, 91.0, 76.0, 61.0, 62.0, 63.0, 77.0]","[14.741289350491259, 1.0674887581324952e-05, 29.246055847109762, 75.95495387797034, 20.968201834716261, 2.5104173983956022, 3.1927553974208625, 16.668211474488174, 17.559794191788065]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
936.48231659,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[172.65836375406951, 42.169975174249508, 0.00067815258311571002, 1857.9388464344015, 1115.5358498551316, 202.82886386601598, 1058.8955229016181, 1588.0492337635685, 936.48231658950749]",78,"[79.0, 94.0, 93.0, 92.0, 77.0, 62.0, 63.0, 64.0, 78.0]","[2.717837650314932, 0.66380303710436339, 1.0674887581324952e-05, 29.246055847109762, 17.559794191788065, 3.1927553974208625, 16.668211474488174, 24.997688523355283, 14.741289350491259]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
172.658363754,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[78.820494406222437, 359.00041991273696, 42.169975174249508, 0.00067815258311571002, 936.48231658950749, 1058.8955229016181, 1588.0492337635685, 6.0236886972997619, 172.65836375406951]",79,"[80.0, 95.0, 94.0, 93.0, 78.0, 63.0, 64.0, 65.0, 79.0]","[1.2407236038608622, 5.651072073794686, 0.66380303710436339, 1.0674887581324952e-05, 14.741289350491259, 16.668211474488174, 24.997688523355283, 0.094819663405456819, 2.717837650314932]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
78.8204944062,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1.7314475497443772e-23, 2366.0154486774231, 359.00041991273696, 42.169975174249508, 172.65836375406951, 1588.0492337635685, 6.0236886972997619, 114.84825419836159, 78.820494406222437]",80,"[81.0, 96.0, 95.0, 94.0, 79.0, 64.0, 65.0, 66.0, 80.0]","[2.7254939974663633e-25, 37.243755401282797, 5.651072073794686, 0.66380303710436339, 2.717837650314932, 24.997688523355283, 0.094819663405456819, 1.8078412336737437, 1.2407236038608622]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1.73144754974e-23,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2071.0291201197479, 948.95103278591432, 2366.0154486774231, 359.00041991273696, 78.820494406222437, 6.0236886972997619, 114.84825419836159, 574.2758152387305, 1.7314475497443772e-23]",81,"[82.0, 97.0, 96.0, 95.0, 80.0, 65.0, 66.0, 67.0, 81.0]","[32.600337424588787, 14.937561025913572, 37.243755401282797, 5.651072073794686, 1.2407236038608622, 0.094819663405456819, 1.8078412336737437, 9.0397499338304481, 2.7254939974663633e-25]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2071.02912012,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[249.8589097763448, 1082.516287125537, 948.95103278591432, 2366.0154486774231, 1.7314475497443772e-23, 114.84825419836159, 574.2758152387305, 1094.8492384865358, 2071.0291201197479]",82,"[83.0, 98.0, 97.0, 96.0, 81.0, 66.0, 67.0, 68.0, 82.0]","[3.9330614370008234, 17.040028981275277, 14.937561025913572, 37.243755401282797, 2.7254939974663633e-25, 1.8078412336737437, 9.0397499338304481, 17.234163564851947, 32.600337424588787]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
249.858909776,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[479.96076605819945, 13.869623840704966, 1082.516287125537, 948.95103278591432, 2071.0291201197479, 574.2758152387305, 1094.8492384865358, 178.68005734498774, 249.8589097763448]",83,"[84.0, 99.0, 98.0, 97.0, 82.0, 67.0, 68.0, 69.0, 83.0]","[7.5551245378706753, 0.21832354396492462, 17.040028981275277, 14.937561025913572, 32.600337424588787, 9.0397499338304481, 17.234163564851947, 2.8126259084926186, 3.9330614370008234]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
479.960766058,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[151.48246794610074, 479.96076605819945, 13.869623840704966, 1082.516287125537, 249.8589097763448, 1094.8492384865358, 178.68005734498774, 1160.1846199058198, 479.96076605819945]",84,"[85.0, 84.0, 99.0, 98.0, 83.0, 68.0, 69.0, 70.0, 84.0]","[2.3845051336925671, -100.0, 0.21832354396492462, 17.040028981275277, 3.9330614370008234, 17.234163564851947, 2.8126259084926186, 18.262616259862682, 7.5551245378706753]","[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
