,actions,next_state,start,positions,rewards,possibility
127.725625541,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[127.72562554103794, 127.72562554103794, 127.72562554103794, 1070.4715715983868, 1359.1987905201763, 127.72562554103794, 127.72562554103794, 127.72562554103794, 127.72562554103794]",385,"[385.0, 385.0, 385.0, 409.0, 384.0, 385.0, 385.0, 385.0, 385.0]","[-100.0, -100.0, -100.0, 10.341184624575988, 13.130405334615341, -100.0, -100.0, -100.0, 1.2338807587735496]","[-1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
20.352440543,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[46.646304202335017, 757.83416398726058, 18.674380580276836, 20.352440542960423, 20.352440542960423, 20.352440542960423, 20.352440542960423, 20.352440542960423, 20.352440542960423]",386,"[387.0, 411.0, 410.0, 386.0, 386.0, 386.0, 386.0, 386.0, 386.0]","[0.45062200305815958, 7.3209819041730322, 0.18040200455009472, -100.0, -100.0, -100.0, -100.0, -100.0, 0.1966127366663237]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]"
46.6463042023,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2685.9185672356148, 35.012335598561904, 757.83416398726058, 18.674380580276836, 20.352440542960423, 46.646304202335017, 46.646304202335017, 46.646304202335017, 46.646304202335017]",387,"[388.0, 412.0, 411.0, 410.0, 386.0, 387.0, 387.0, 387.0, 387.0]","[25.947050372282828, 0.3382332012999798, 7.3209819041730322, 0.18040200455009472, 0.1966127366663237, -100.0, -100.0, -100.0, 0.45062200305815958]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
2685.91856724,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[323.81511644261735, 2486.2894416800473, 35.012335598561904, 757.83416398726058, 46.646304202335017, 2685.9185672356148, 2685.9185672356148, 2685.9185672356148, 2685.9185672356148]",388,"[389.0, 413.0, 412.0, 411.0, 387.0, 388.0, 388.0, 388.0, 388.0]","[3.1281838698076121, 24.018552971151195, 0.3382332012999798, 7.3209819041730322, 0.45062200305815958, -100.0, -100.0, -100.0, 25.947050372282828]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
323.815116443,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[21.439002453643546, 85.64297687838588, 2486.2894416800473, 35.012335598561904, 2685.9185672356148, 323.81511644261735, 323.81511644261735, 323.81511644261735, 323.81511644261735]",389,"[390.0, 414.0, 413.0, 412.0, 388.0, 389.0, 389.0, 389.0, 389.0]","[0.20710936041844122, 0.82734549818568526, 24.018552971151195, 0.3382332012999798, 25.947050372282828, -100.0, -100.0, -100.0, 3.1281838698076121]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
21.4390024536,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1775.6880640161339, 1962.5289859664883, 85.64297687838588, 2486.2894416800473, 323.81511644261735, 21.439002453643546, 21.439002453643546, 21.439002453643546, 21.439002453643546]",390,"[391.0, 415.0, 414.0, 413.0, 389.0, 390.0, 390.0, 390.0, 390.0]","[17.153858722495773, 18.958816948924511, 0.82734549818568526, 24.018552971151195, 3.1281838698076121, -100.0, -100.0, -100.0, 0.20710936041844122]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1775.68806402,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.72750807087923386, 354.86106853855455, 1962.5289859664883, 85.64297687838588, 21.439002453643546, 1775.6880640161339, 1775.6880640161339, 1775.6880640161339, 1775.6880640161339]",391,"[392.0, 416.0, 415.0, 414.0, 390.0, 391.0, 391.0, 391.0, 391.0]","[0.0070280196844440968, 3.4281002160123464, 18.958816948924511, 0.82734549818568526, 0.20710936041844122, -100.0, -100.0, -100.0, 17.153858722495773]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.727508070879,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.080286944129292007, 999.7696362656327, 354.86106853855455, 1962.5289859664883, 1775.6880640161339, 0.72750807087923386, 0.72750807087923386, 0.72750807087923386, 0.72750807087923386]",392,"[393.0, 417.0, 416.0, 415.0, 391.0, 392.0, 392.0, 392.0, 392.0]","[0.00077560407414118489, 9.6581755788531485, 3.4281002160123464, 18.958816948924511, 17.153858722495773, -100.0, -100.0, -100.0, 0.0070280196844440968]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
0.0802869441293,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1138.1025851730531, 26.769637458810539, 999.7696362656327, 354.86106853855455, 0.72750807087923386, 0.080286944129292007, 0.080286944129292007, 0.080286944129292007, 0.080286944129292007]",393,"[394.0, 418.0, 417.0, 416.0, 392.0, 393.0, 393.0, 393.0, 393.0]","[10.994527334722445, 0.25860543207249631, 9.6581755788531485, 3.4281002160123464, 0.0070280196844440968, -100.0, -100.0, -100.0, 0.00077560407414118489]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1138.10258517,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1775.9655763919134, 208.1105669901855, 26.769637458810539, 999.7696362656327, 0.080286944129292007, 1138.1025851730531, 1138.1025851730531, 1138.1025851730531, 1138.1025851730531]",394,"[395.0, 419.0, 418.0, 417.0, 393.0, 394.0, 394.0, 394.0, 394.0]","[17.156539603324077, 2.0104315263199846, 0.25860543207249631, 9.6581755788531485, 0.00077560407414118489, -100.0, -100.0, -100.0, 10.994527334722445]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1775.96557639,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[29.141846016294572, 447.54336456582814, 208.1105669901855, 26.769637458810539, 1138.1025851730531, 1775.9655763919134, 1775.9655763919134, 1775.9655763919134, 1775.9655763919134]",395,"[396.0, 420.0, 419.0, 418.0, 394.0, 395.0, 395.0, 395.0, 395.0]","[0.28152191795760206, 4.3234483598369691, 2.0104315263199846, 0.25860543207249631, 10.994527334722445, -100.0, -100.0, -100.0, 17.156539603324077]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
29.1418460163,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[95.820618463888835, 9.1856795342445583, 447.54336456582814, 208.1105669901855, 1775.9655763919134, 29.141846016294572, 29.141846016294572, 29.141846016294572, 29.141846016294572]",396,"[397.0, 421.0, 420.0, 419.0, 395.0, 396.0, 396.0, 396.0, 396.0]","[0.92566559698223239, 0.088737347619587445, 4.3234483598369691, 2.0104315263199846, 17.156539603324077, -100.0, -100.0, -100.0, 0.28152191795760206]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
95.8206184639,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1126.1136521785743, 0.0031940654433705949, 9.1856795342445583, 447.54336456582814, 29.141846016294572, 95.820618463888835, 95.820618463888835, 95.820618463888835, 95.820618463888835]",397,"[398.0, 422.0, 421.0, 420.0, 396.0, 397.0, 397.0, 397.0, 397.0]","[10.87870943461469, 3.0855952954970802e-05, 0.088737347619587445, 4.3234483598369691, 0.28152191795760206, -100.0, -100.0, -100.0, 0.92566559698223239]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
1126.11365218,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2170.9824365499644, 0.34400007259768572, 0.0031940654433705949, 9.1856795342445583, 95.820618463888835, 1126.1136521785743, 1126.1136521785743, 1126.1136521785743, 1126.1136521785743]",398,"[399.0, 423.0, 422.0, 421.0, 397.0, 398.0, 398.0, 398.0, 398.0]","[20.972560868246823, 0.0033231786401281879, 3.0855952954970802e-05, 0.088737347619587445, 0.92566559698223239, -100.0, -100.0, -100.0, 10.87870943461469]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
2170.98243655,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[20.562357632837596, 11.419660673873608, 0.34400007259768572, 0.0031940654433705949, 1126.1136521785743, 2170.9824365499644, 2170.9824365499644, 1971.6097069814, 2170.9824365499644]",399,"[400.0, 424.0, 423.0, 422.0, 398.0, 399.0, 399.0, 375.0, 399.0]","[0.19864061992812038, 0.11031850122110687, 0.0033231786401281879, 3.0855952954970802e-05, 10.87870943461469, -100.0, -100.0, 19.046540355160563, 20.972560868246823]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0]"
20.5623576328,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[257.4585810639955, 8.1819157635790293e-06, 11.419660673873608, 0.34400007259768572, 2170.9824365499644, 20.562357632837596, 1971.6097069814, 657.65778949723313, 20.562357632837596]",400,"[401.0, 425.0, 424.0, 423.0, 399.0, 400.0, 375.0, 376.0, 400.0]","[2.4871531300814538, 7.9040587100843729e-08, 0.11031850122110687, 0.0033231786401281879, 20.972560868246823, -100.0, 19.046540355160563, 6.3532379573859084, 0.19864061992812038]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0]"
257.458581064,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[213.98985385684969, 5.056038019558895, 8.1819157635790293e-06, 11.419660673873608, 20.562357632837596, 1971.6097069814, 657.65778949723313, 1069.9378367705403, 257.4585810639955]",401,"[402.0, 426.0, 425.0, 424.0, 400.0, 375.0, 376.0, 377.0, 401.0]","[2.0672277949572142, 0.048843354663836144, 7.9040587100843729e-08, 0.11031850122110687, 0.19864061992812038, 19.046540355160563, 6.3532379573859084, 10.336028532119384, 2.4871531300814538]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
