,actions,next_state,start,positions,rewards,possibility
258.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 2943.0, 218.0, 872.0, 491.0, 185.0, 0.0, 1747.0, 258.0]",12,"[13.0, 23.0, 22.0, 21.0, 11.0, 1.0, 2.0, 3.0, 12.0]","[0.0, 12.935268715593306, 0.95816805300691155, 3.8326722120276462, 2.1580757524146494, 0.81312426516641578, 0.0, 7.6785302229498829, 1.1339787049347851]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[989.0, 652.0, 2943.0, 218.0, 258.0, 0.0, 1747.0, 0.0, 0.0]",13,"[14.0, 24.0, 23.0, 22.0, 12.0, 2.0, 3.0, 4.0, 13.0]","[4.3469183689166764, 2.8657136264243408, 12.935268715593306, 0.95816805300691155, 1.1339787049347851, 0.0, 7.6785302229498829, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
989.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[84.0, 464.0, 652.0, 2943.0, 0.0, 1747.0, 0.0, 790.0, 989.0]",14,"[15.0, 25.0, 24.0, 23.0, 13.0, 3.0, 4.0, 5.0, 14.0]","[0.36920236904853471, 2.0394035623633346, 2.8657136264243408, 12.935268715593306, 0.0, 7.6785302229498829, 0.0, 3.4722603755755053, 4.3469183689166764]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
84.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[75.0, 711.0, 464.0, 652.0, 989.0, 0.0, 790.0, 439.0, 84.0]",15,"[16.0, 26.0, 25.0, 24.0, 14.0, 4.0, 5.0, 6.0, 15.0]","[0.32964497236476314, 3.1250343380179548, 2.0394035623633346, 2.8657136264243408, 4.3469183689166764, 0.0, 3.4722603755755053, 1.9295219049084136, 0.36920236904853471]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
75.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5004.0, 9717.0, 711.0, 464.0, 84.0, 790.0, 439.0, 4121.0, 75.0]",16,"[17.0, 27.0, 26.0, 25.0, 15.0, 5.0, 6.0, 7.0, 16.0]","[21.993912556176998, 42.708802619578712, 3.1250343380179548, 2.0394035623633346, 0.36920236904853471, 3.4722603755755053, 1.9295219049084136, 18.112892414869187, 0.32964497236476314]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5004.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6345.0, 0.0, 9717.0, 711.0, 75.0, 439.0, 4121.0, 3792.0, 5004.0]",17,"[18.0, 28.0, 27.0, 26.0, 16.0, 6.0, 7.0, 8.0, 17.0]","[27.887964662058963, 0.0, 42.708802619578712, 3.1250343380179548, 0.32964497236476314, 1.9295219049084136, 18.112892414869187, 16.666849802762425, 21.993912556176998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6345.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6345.0, 6345.0, 0.0, 9717.0, 5004.0, 4121.0, 3792.0, 6345.0, 6345.0]",18,"[18.0, 18.0, 28.0, 27.0, 17.0, 7.0, 8.0, 18.0, 18.0]","[-100.0, -100.0, 0.0, 42.708802619578712, 21.993912556176998, 18.112892414869187, 16.666849802762425, -100.0, 27.887964662058963]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
4583.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1603.0, 2492.0, 4144.0, 4583.0, 4583.0, 4583.0, 0.0, 2397.0, 4583.0]",19,"[20.0, 30.0, 29.0, 19.0, 19.0, 19.0, 9.0, 10.0, 19.0]","[7.0456118760095379, 10.95300361510653, 18.213983539727714, -100.0, -100.0, -100.0, 0.0, 10.535453316777831, 20.143505444636126]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
1603.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[872.0, 1473.0, 2492.0, 4144.0, 4583.0, 0.0, 2397.0, 491.0, 1603.0]",20,"[21.0, 31.0, 30.0, 29.0, 19.0, 9.0, 10.0, 11.0, 20.0]","[3.8326722120276462, 6.4742272572439479, 10.95300361510653, 18.213983539727714, 20.143505444636126, 0.0, 10.535453316777831, 2.1580757524146494, 7.0456118760095379]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
872.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[218.0, 3724.0, 1473.0, 2492.0, 1603.0, 2397.0, 491.0, 258.0, 872.0]",21,"[22.0, 32.0, 31.0, 30.0, 20.0, 10.0, 11.0, 12.0, 21.0]","[0.95816805300691155, 16.367971694485039, 6.4742272572439479, 10.95300361510653, 7.0456118760095379, 10.535453316777831, 2.1580757524146494, 1.1339787049347851, 3.8326722120276462]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
