,actions,next_state,rewards
872.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[218.0, 3724.0, 1473.0, 2492.0, 1603.0, 2397.0, 491.0, 258.0]","[0.24322484910017964, 4.1549052204085735, 1.6434412969016725, 2.7803501098974661, 1.7884836381082017, 2.6743576297850025, 0.54781376563389084, 0.28785326177911169]"
218.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[2943.0, 7058.0, 3724.0, 1473.0, 872.0, 491.0, 258.0, 218.0]","[3.2835354628524249, 7.8746834171975593, 4.1549052204085735, 1.6434412969016725, 0.97289939640071854, 0.54781376563389084, 0.28785326177911169, 0.0]"
2943.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[652.0, 839.0, 7058.0, 3724.0, 218.0, 258.0, 2943.0, 989.0]","[0.72744312666659228, 0.93608095594059959, 7.8746834171975593, 4.1549052204085735, 0.24322484910017964, 0.28785326177911169, 0.0, 1.1034375034865946]"
652.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[464.0, 1576.0, 839.0, 7058.0, 2943.0, 652.0, 989.0, 84.0]","[0.51768958707561163, 1.7583594595499226, 0.93608095594059959, 7.8746834171975593, 3.2835354628524249, 0.0, 1.1034375034865946, 0.093719666625757286]"
464.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[711.0, 1469.0, 1576.0, 839.0, 652.0, 989.0, 84.0, 75.0]","[0.7932700353680171, 1.6389784556337792, 1.7583594595499226, 0.93608095594059959, 0.72744312666659228, 1.1034375034865946, 0.093719666625757286, 0.08367827377299758]"
711.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[9717.0, 5491.0, 1469.0, 1576.0, 464.0, 84.0, 75.0, 5004.0]","[10.841357150029566, 6.1263653505003957, 1.6389784556337792, 1.7583594595499226, 0.51768958707561163, 0.093719666625757286, 0.08367827377299758, 5.5830144261343984]"
9717.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[9717.0, 9717.0, 5491.0, 1469.0, 711.0, 75.0, 5004.0, 6345.0]","[0.0, 0.0, 6.1263653505003957, 1.6389784556337792, 0.7932700353680171, 0.08367827377299758, 5.5830144261343984, 7.0791819611955953]"
4144.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[2492.0, 4144.0, 4144.0, 4144.0, 4144.0, 4144.0, 4583.0, 1603.0]","[2.7803501098974661, 0.0, 0.0, 0.0, 0.0, 0.0, 5.1133003826886387, 1.7884836381082017]"
2492.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1473.0, 443.0, 2492.0, 2492.0, 4144.0, 4583.0, 1603.0, 872.0]","[1.6434412969016725, 0.49425967041917235, 0.0, 0.0, 4.6235035535373594, 5.1133003826886387, 1.7884836381082017, 0.97289939640071854]"
1473.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[3724.0, 545.0, 443.0, 1473.0, 2492.0, 1603.0, 872.0, 218.0]","[4.1549052204085735, 0.60806212275044902, 0.49425967041917235, 0.0, 2.7803501098974661, 1.7884836381082017, 0.97289939640071854, 0.24322484910017964]"
3724.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[7058.0, 3724.0, 545.0, 443.0, 1473.0, 872.0, 218.0, 2943.0]","[7.8746834171975593, 0.0, 0.60806212275044902, 0.49425967041917235, 1.6434412969016725, 0.97289939640071854, 0.24322484910017964, 3.2835354628524249]"
7058.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[839.0, 1285.0, 7058.0, 545.0, 3724.0, 218.0, 2943.0, 652.0]","[0.93608095594059959, 1.4336877573106919, 0.0, 0.60806212275044902, 4.1549052204085735, 0.24322484910017964, 3.2835354628524249, 0.72744312666659228]"
839.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1576.0, 124.0, 1285.0, 839.0, 7058.0, 2943.0, 652.0, 464.0]","[1.7583594595499226, 0.13834807930468934, 1.4336877573106919, 0.0, 7.8746834171975593, 3.2835354628524249, 0.72744312666659228, 0.51768958707561163]"
1576.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1469.0, 31.0, 124.0, 1285.0, 839.0, 652.0, 464.0, 711.0]","[1.6389784556337792, 0.034587019826172336, 0.13834807930468934, 1.4336877573106919, 0.93608095594059959, 0.72744312666659228, 0.51768958707561163, 0.7932700353680171]"
1469.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[5491.0, 410.0, 31.0, 124.0, 1576.0, 464.0, 711.0, 9717.0]","[6.1263653505003957, 0.45744122995905345, 0.034587019826172336, 0.13834807930468934, 1.7583594595499226, 0.51768958707561163, 0.7932700353680171, 10.841357150029566]"
5491.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[5491.0, 5491.0, 410.0, 31.0, 1469.0, 711.0, 9717.0, 5491.0]","[0.0, 0.0, 0.45744122995905345, 0.034587019826172336, 1.6389784556337792, 0.7932700353680171, 10.841357150029566, 0.0]"
443.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[545.0, 4946.0, 1519.0, 1468.0, 443.0, 2492.0, 1473.0, 3724.0]","[0.60806212275044902, 5.5183032277499473, 1.6947639714824443, 1.637862745316806, 0.0, 2.7803501098974661, 1.6434412969016725, 4.1549052204085735]"
545.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[545.0, 807.0, 4946.0, 1519.0, 443.0, 1473.0, 3724.0, 7058.0]","[0.0, 0.90037822579745397, 5.5183032277499473, 1.6947639714824443, 0.49425967041917235, 1.6434412969016725, 4.1549052204085735, 7.8746834171975593]"
1285.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[124.0, 1285.0, 1153.0, 807.0, 1285.0, 7058.0, 839.0, 1576.0]","[0.13834807930468934, 0.0, 1.2864139954702161, 0.90037822579745397, 0.0, 7.8746834171975593, 0.93608095594059959, 1.7583594595499226]"
124.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[31.0, 124.0, 124.0, 1153.0, 1285.0, 839.0, 1576.0, 1469.0]","[0.034587019826172336, 0.0, 0.0, 1.2864139954702161, 1.4336877573106919, 0.93608095594059959, 1.7583594595499226, 1.6389784556337792]"
31.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[410.0, 31.0, 31.0, 31.0, 124.0, 1576.0, 1469.0, 5491.0]","[0.45744122995905345, 0.0, 0.0, 0.0, 0.13834807930468934, 1.7583594595499226, 1.6389784556337792, 6.1263653505003957]"
410.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[410.0, 410.0, 410.0, 410.0, 31.0, 1469.0, 5491.0, 410.0]","[0.0, 0.0, 0.0, 0.0, 0.034587019826172336, 1.6389784556337792, 6.1263653505003957, 0.0]"
1468.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1519.0, 1468.0, 1468.0, 1468.0, 1468.0, 1468.0, 1468.0, 443.0]","[1.6947639714824443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49425967041917235]"
1519.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[4946.0, 1519.0, 1519.0, 1519.0, 1468.0, 1519.0, 443.0, 545.0]","[5.5183032277499473, 0.0, 0.0, 0.0, 1.637862745316806, 0.0, 0.49425967041917235, 0.60806212275044902]"
4946.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[807.0, 4946.0, 4946.0, 4946.0, 1519.0, 443.0, 545.0, 4946.0]","[0.90037822579745397, 0.0, 0.0, 0.0, 1.6947639714824443, 0.49425967041917235, 0.60806212275044902, 0.0]"
807.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1153.0, 807.0, 807.0, 807.0, 4946.0, 545.0, 807.0, 1285.0]","[1.2864139954702161, 0.0, 0.0, 0.0, 5.5183032277499473, 0.60806212275044902, 0.0, 1.4336877573106919]"
1153.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1153.0, 1153.0, 1153.0, 1153.0, 807.0, 1153.0, 1285.0, 124.0]","[0.0, 0.0, 0.0, 0.0, 0.90037822579745397, 0.0, 1.4336877573106919, 0.13834807930468934]"
