episode,reward
0,11.591660261178736
1,11.16959450950757
2,10.259995765307972
3,10.877875326869765
4,10.590430661887323
5,11.113190578519125
6,9.6537161345675582
7,11.15533766830249
8,10.553878108627346
9,10.484114170701622
10,10.421953705572109
11,9.1782124175290392
12,10.047446021813753
13,9.0443179773516356
14,7.3483381456816392
15,10.169564426404575
16,7.6982124087719042
0,0.28316932233560738
1,0.29517565460708739
2,0.35477520059600293
3,0.3531047022972556
4,0.22358825375621394
5,0.39479292071061539
6,0.38975342704196325
7,0.33298068719625834
8,0.19761923599019615
9,0.19370443577989632
10,0.32650945811523174
0,0.28316932233560738
1,0.29517565460708739
2,0.35477520059600293
3,0.3531047022972556
4,0.22358825375621394
5,0.39479292071061539
6,0.38975342704196325
7,0.33298068719625834
8,0.19761923599019615
9,0.19370443577989632
10,0.32650945811523174
