episode,reward
0,11.090310703633998
1,9.4144342579131379
2,11.907733043122516
3,9.0207234327054557
4,12.655966661035082
5,9.5082152898459515
6,8.8762364673583072
7,7.1214149621008263
8,12.686552690663959
9,7.6216534983712139
10,7.309833720909408
11,9.2870874030570221
12,9.27212340783319
13,10.894929515662348
14,9.5651091458005499
15,9.0006355274740386
16,6.3703494861246828
17,9.4110163304996188
18,12.444383770214879
19,8.4595450358746316
20,9.9745361412927043
21,8.4606831491507624
22,10.027298619945149
23,10.278191935958795
24,7.1817234703928916
25,10.149541597338354
26,12.669765378448357
27,12.039382881719224
28,7.5600987167950162
29,9.2876780036786126
30,9.8206403041005501
31,11.720865410645773
32,11.035954049045857
33,10.80121669011945
34,9.0926159536953257
35,8.3434415283345675
36,9.3950710662506864
37,7.4859410983266619
38,5.9806866853917446
39,10.190771640445645
40,11.673752541485118
41,13.529536576149834
42,5.6179019818380906
43,10.386154610767582
44,10.293021687152715
45,9.3551442508664397
46,8.9770475740504363
47,10.315838278597653
48,8.9395632139389303
49,10.746680042335072
50,8.7808898889374323
51,11.707359883434055
52,12.019590062025658
53,8.8269056182728534
54,10.800112701774683
55,10.627088597769193
56,11.694504201186279
57,9.6712107143214165
58,9.2812663525561856
59,7.5001860189714087
60,9.0649342827546633
61,11.261738098650715
62,9.1446845385480628
63,8.6502452100122262
64,11.315102570596887
65,13.119879173485394
66,7.9912091923829811
67,11.453706429657903
68,9.2604948436875354
69,6.0942100064596589
70,13.543151474029802
71,10.931836594688807
72,9.5277091525187689
73,6.2260758224098112
74,9.169880045776619
75,11.777997143144237
76,12.16799685097318
77,6.997573512825241
78,12.824127799048005
79,7.1307870233951052
80,10.298142378321021
81,10.495466133651263
82,8.9477480824074007
83,10.524384178515239
84,9.9589956634223036
85,7.7798452794917905
86,9.1034930059893959
87,9.6516307091328812
88,8.6700674958438544
89,9.8785797227617742
90,7.6917269452978454
91,9.4702432661997911
92,9.846998612631328
93,10.618494196381038
94,6.1271923080811073
95,10.091030471469796
96,12.097721226240781
97,9.5965854727520252
98,9.4116028504288245
99,9.8534277994844697
100,8.1438112857312532
101,9.2117642604421466
102,11.510380884235218
103,9.0484397676056432
104,10.264590357893256
105,8.7804369730147034
106,9.5939341540497907
107,6.0675784832120314
108,7.3486585915918781
109,7.7980927681401795
110,9.7544579131796656
111,9.0090548310623149
112,8.5725048293957187
113,7.9384493354777881
114,8.2301473758901338
115,9.3674951606199173
116,8.8101114405211405
117,7.3663594156649754
118,7.5218612333094583
119,7.4338282831207136
120,7.2542823649209982
121,6.4895941136768904
122,5.6774594100639399
123,7.4354272838976172
124,6.2529319046723479
125,4.4368529213800842
126,5.8709235809576032
127,5.9272895291295198
128,6.6284808458613433
129,6.8674757635612753
130,5.6021000850917035
131,4.5927793329577771
132,5.0040550418375496
133,5.7397770609807859
134,6.2910381837599809
135,5.717972714103424
136,6.8383078075193913
137,4.6071737373335377
138,6.4140452682512024
139,4.5064401596163961
140,3.4451290458090833
141,4.9651544682607893
142,4.2772175805674078
