episode,loss
1,0.00415586
2,0.00708351
3,0.00652378
4,0.00496805
5,0.00672804
6,0.00395257
7,0.0047676
8,0.00549733
9,0.00502147
10,0.00596248
11,0.00404013
12,0.00585813
13,0.00932538
14,0.00538538
15,0.00546749
16,0.00588533
17,0.00473096
18,0.00418601
19,0.00359661
20,0.00648592
21,0.00594431
22,0.0061072
23,0.00634849
24,0.00567523
25,0.0066562
26,0.00518049
27,0.00380139
28,0.00553364
29,0.00472524
30,0.00475094
31,0.00320524
32,0.00705213
33,0.00654844
34,0.00824546
35,0.00459406
36,0.00349489
37,0.00500361
38,0.00378193
39,0.00572689
40,0.00441535
41,0.00572576
42,0.00604598
43,0.00346877
44,0.00481233
45,0.0050497
46,0.0103939
47,0.00644673
48,0.0102034
49,0.00601177
50,0.00687091
51,0.00795042
52,0.00712713
53,0.00399617
54,0.00457638
55,0.00493298
56,0.00471873
57,0.00563849
58,0.00652813
59,0.00466641
60,0.00464084
61,0.00613914
62,0.00816465
63,0.00624164
64,0.00686426
65,0.00592556
66,0.00532104
67,0.00685392
68,0.00368918
69,0.0062816
70,0.00945845
71,0.00444626
72,0.00445705
73,0.0035068
74,0.00450125
75,0.00465244
76,0.00568261
77,0.00454994
78,0.00785429
79,0.00403879
80,0.00542117
81,0.00501654
82,0.00473314
83,0.00558115
84,0.00441783
85,0.00540745
86,0.00615435
87,0.00555696
88,0.00399922
89,0.00390727
90,0.0042062
91,0.00440223
92,0.00558477
93,0.00466756
94,0.00617944
95,0.00580004
96,0.00763008
97,0.00652732
98,0.00754579
99,0.00399847
100,0.0054856
101,0.00584223
102,0.00718059
103,0.00481657
104,0.00447259
105,0.00810653
106,0.00478789
107,0.00681709
108,0.00351166
109,0.00521071
110,0.00567783
111,0.00564744
112,0.00757301
113,0.00601838
114,0.00423557
115,0.00585338
116,0.00751539
117,0.00433774
118,0.00577248
119,0.00367494
120,0.00647749
121,0.00931822
122,0.00620013
123,0.00375884
124,0.00468349
125,0.00380833
126,0.00462797
127,0.00583314
128,0.00441043
129,0.00406355
130,0.00375239
131,0.00672747
132,0.00454467
133,0.00641175
134,0.00453298
135,0.00587623
136,0.00636718
137,0.00491376
138,0.00498924
139,0.00354178
140,0.00453097
141,0.00577603
142,0.00583498
