,actions,next_state,rewards
711.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[9717.0, 5491.0, 1469.0, 1576.0, 464.0, 84.0, 75.0, 5004.0]","[88.562484840950049, 70.632250516973414, 27.948978870205366, 29.648908826616871, 9.835816583402945, 1.8569358249693524, 1.6596391653226461, 67.260991063490977]"
9717.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[9717.0, 9717.0, 5491.0, 1469.0, 711.0, 75.0, 5004.0, 6345.0]","[0.0, 0.0, 70.632250516973414, 27.948978870205366, 14.670845926196584, 1.6596391653226461, 67.260991063490977, 75.727748270316695]"
4144.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[2492.0, 4144.0, 4144.0, 4144.0, 4144.0, 4144.0, 4583.0, 1603.0]","[42.654168021688079, 0.0, 0.0, 0.0, 0.0, 0.0, 64.036299531118317, 30.071488328779893]"
2492.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1473.0, 443.0, 2492.0, 2492.0, 4144.0, 4583.0, 1603.0, 872.0]","[28.013260632106117, 9.4123172423555506, 0.0, 0.0, 60.334988555588652, 64.036299531118317, 30.071488328779893, 17.681957942920377]"
1473.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[3724.0, 545.0, 443.0, 1473.0, 2492.0, 1603.0, 872.0, 218.0]","[56.437828748147844, 11.450850323046225, 9.4123172423555506, 0.0, 42.654168021688079, 30.071488328779893, 17.681957942920377, 4.7480757247042149]"
3724.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[7058.0, 3724.0, 545.0, 443.0, 1473.0, 872.0, 218.0, 2943.0]","[79.29793398976625, 0.0, 11.450850323046225, 9.4123172423555506, 28.013260632106117, 17.681957942920377, 4.7480757247042149, 48.144391665933959]"
7058.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[839.0, 1285.0, 7058.0, 545.0, 3724.0, 218.0, 2943.0, 652.0]","[17.073556265930879, 24.929127460745249, 0.0, 11.450850323046225, 56.437828748147844, 4.7480757247042149, 48.144391665933959, 13.540027544829879]"
839.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1576.0, 124.0, 1285.0, 839.0, 7058.0, 2943.0, 652.0, 464.0]","[29.648908826616871, 2.7290318429624483, 24.929127460745249, 0.0, 79.29793398976625, 48.144391665933959, 13.540027544829879, 9.835816583402945]"
1576.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1469.0, 31.0, 124.0, 1285.0, 839.0, 652.0, 464.0, 711.0]","[27.948978870205366, 0.68935337980016165, 2.7290318429624483, 24.929127460745249, 17.073556265930879, 13.540027544829879, 9.835816583402945, 14.670845926196584]"
1469.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[5491.0, 410.0, 31.0, 124.0, 1576.0, 464.0, 711.0, 9717.0]","[70.632250516973414, 8.7427957531767024, 0.68935337980016165, 2.7290318429624483, 29.648908826616871, 9.835816583402945, 14.670845926196584, 88.562484840950049]"
5491.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[5491.0, 5491.0, 410.0, 31.0, 1469.0, 711.0, 9717.0, 5491.0]","[0.0, 0.0, 8.7427957531767024, 0.68935337980016165, 27.948978870205366, 14.670845926196584, 88.562484840950049, 0.0]"
443.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[545.0, 4946.0, 1519.0, 1468.0, 443.0, 2492.0, 1473.0, 3724.0]","[11.450850323046225, 66.834521178163314, 28.748391688170681, 27.932899462751415, 0.0, 42.654168021688079, 28.013260632106117, 56.437828748147844]"
545.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[545.0, 807.0, 4946.0, 1519.0, 443.0, 1473.0, 3724.0, 7058.0]","[0.0, 16.479297034736085, 66.834521178163314, 28.748391688170681, 9.4123172423555506, 28.013260632106117, 56.437828748147844, 79.29793398976625]"
1285.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[124.0, 1285.0, 1153.0, 807.0, 1285.0, 7058.0, 839.0, 1576.0]","[2.7290318429624483, 0.0, 22.685046314249245, 16.479297034736085, 0.0, 79.29793398976625, 17.073556265930879, 29.648908826616871]"
124.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[31.0, 124.0, 124.0, 1153.0, 1285.0, 839.0, 1576.0, 1469.0]","[0.68935337980016165, 0.0, 0.0, 22.685046314249245, 24.929127460745249, 17.073556265930879, 29.648908826616871, 27.948978870205366]"
31.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[410.0, 31.0, 31.0, 31.0, 124.0, 1576.0, 1469.0, 5491.0]","[8.7427957531767024, 0.0, 0.0, 0.0, 2.7290318429624483, 29.648908826616871, 27.948978870205366, 70.632250516973414]"
410.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[410.0, 410.0, 410.0, 410.0, 31.0, 1469.0, 5491.0, 410.0]","[0.0, 0.0, 0.0, 0.0, 0.68935337980016165, 27.948978870205366, 70.632250516973414, 0.0]"
1468.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1519.0, 1468.0, 1468.0, 1468.0, 1468.0, 1468.0, 1468.0, 443.0]","[28.748391688170681, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.4123172423555506]"
1519.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[4946.0, 1519.0, 1519.0, 1519.0, 1468.0, 1519.0, 443.0, 545.0]","[66.834521178163314, 0.0, 0.0, 0.0, 27.932899462751415, 0.0, 9.4123172423555506, 11.450850323046225]"
4946.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[807.0, 4946.0, 4946.0, 4946.0, 1519.0, 443.0, 545.0, 4946.0]","[16.479297034736085, 0.0, 0.0, 0.0, 28.748391688170681, 9.4123172423555506, 11.450850323046225, 0.0]"
807.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1153.0, 807.0, 807.0, 807.0, 4946.0, 545.0, 807.0, 1285.0]","[22.685046314249245, 0.0, 0.0, 0.0, 66.834521178163314, 11.450850323046225, 0.0, 24.929127460745249]"
1153.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1153.0, 1153.0, 1153.0, 1153.0, 807.0, 1153.0, 1285.0, 124.0]","[0.0, 0.0, 0.0, 0.0, 16.479297034736085, 0.0, 24.929127460745249, 2.7290318429624483]"
